symbol,total_pnl,trade_count,avg_pnl,net_pnl
HINDCOPPER,983903.2027185442,48,20497.98338996967,983903.2027185442
SUZLON,945284.0105497207,191,4949.130945286496,945284.0105497207
ZOMATO,936685.793848034,117,8005.861485880632,936685.793848034
SJVN,803307.5626687333,46,17463.207884102896,803307.5626687333
HINDPETRO,712864.9865059026,44,16201.476966043241,712864.9865059026
VEDL,696599.1303190077,82,8495.111345353753,696599.1303190077
BHEL,694699.4045976099,116,5988.787970669051,694699.4045976099
INDUSTOWER,624498.9236097118,39,16012.792913069534,624498.9236097118
RVNL,614577.7061110024,69,8906.923276971049,614577.7061110024
ADANIPOWER,593143.2492016996,162,3661.378081491973,593143.2492016996
BEL,588098.4254498635,114,5158.758117981259,588098.4254498635
IRFC,529897.5675003133,73,7258.870787675524,529897.5675003133
IDBI,469288.9052773393,69,6801.288482280279,469288.9052773393
BANKINDIA,459679.31491694,57,8064.549384507719,459679.31491694
NMDC,435872.3710503182,113,3857.27761991432,435872.3710503182
HINDALCO,407578.82910647505,57,7150.505773797808,407578.82910647505
NATIONALUM,366975.6302331163,105,3495.006002220155,366975.6302331163
ATGL,347613.8600371909,8,43451.73250464886,347613.8600371909
PAYTM,343778.7496966472,19,18093.618405086698,343778.7496966472
IRB,342443.2031884856,152,2252.915810450563,342443.2031884856
ONGC,341639.99167362717,93,3673.5482975658833,341639.99167362717
YESBANK,338157.4286594099,111,3046.463321255945,338157.4286594099
MAHABANK,334403.6125790018,69,4846.429167811621,334403.6125790018
NYKAA,329432.42507824046,23,14323.148916445238,329432.42507824046
ASHOKLEY,329409.8360844512,112,2941.1592507540286,329409.8360844512
IDFCFIRSTB,324707.1701323692,114,2848.3085099330633,324707.1701323692
MANAPPURAM,319572.04434326536,32,9986.626385727042,319572.04434326536
HUDCO,288660.1332188138,37,7801.625222130103,288660.1332188138
PFC,285514.42766030313,49,5826.8250542919,285514.42766030313
RECLTD,283918.0904516995,41,6924.831474431695,283918.0904516995
GMRINFRA,282685.58806305745,98,2884.546816969974,282685.58806305745
FEDERALBNK,277595.13971923507,78,3558.912047682501,277595.13971923507
L&TFH,276388.9468394021,47,5880.615890200044,276388.9468394021
UNIONBANK,258298.58123758543,89,2902.2312498605106,258298.58123758543
UCOBANK,247404.655908325,47,5263.9288491132975,247404.655908325
TATASTEEL,236067.58789773524,105,2248.2627418831926,236067.58789773524
SHRIRAMFIN,232354.94084442485,41,5667.193679132313,232354.94084442485
HINDZINC,208905.06688230103,17,12288.533346017708,208905.06688230103
NHPC,192190.34958876617,76,2528.8203893258706,192190.34958876617
AXISBANK,181724.03761328978,178,1020.9215596252235,181724.03761328978
KALYANKJIL,178312.610203395,22,8105.118645608863,178312.610203395
VBL,170302.94786922212,28,6082.248138186505,170302.94786922212
AMBUJACEM,154227.1020102826,16,9639.193875642663,154227.1020102826
JINDALSTEL,148823.2307242094,28,5315.115383007478,148823.2307242094
PETRONET,128434.70953185711,6,21405.784921976185,128434.70953185711
MAZDOCK,124453.82486990123,12,10371.15207249177,124453.82486990123
CANBK,120982.61596157527,122,991.6607865702891,120982.61596157527
IOC,120468.72917749276,92,1309.4427084510082,120468.72917749276
IRCTC,118553.47347438746,23,5154.498846712499,118553.47347438746
LICI,115599.74258635621,7,16514.24894090803,115599.74258635621
INFY,114485.38081965166,127,901.4596914933202,114485.38081965166
PNB,113166.41410640633,119,950.9782698017339,113166.41410640633
JSWENERGY,110353.56574471344,16,6897.09785904459,110353.56574471344
KARURVYSYA,106377.45551177554,18,5909.858639543086,106377.45551177554
BHARTIARTL,94023.26345026825,156,602.7132272453093,94023.26345026825
