window_id,symbol,training_start,training_end,training_sample_count,validation_sample_count,model_version
W1,ABB,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,ABB,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,ABB,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,ABB,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ABB,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,ACC,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,ACC,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,ACC,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,ACC,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ACC,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,ADANIENSOL,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,ADANIENSOL,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,ADANIENSOL,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,ADANIENSOL,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ADANIENSOL,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,ADANIENT,2017-06-01T00:00:00,2021-06-01T00:00:00,740,247,WF_W1_20260821
W2,ADANIENT,2017-06-01T00:00:00,2022-06-01T00:00:00,927,310,WF_W2_20260821
W3,ADANIENT,2017-06-01T00:00:00,2023-06-01T00:00:00,1113,372,WF_W3_20260821
W4,ADANIENT,2017-06-01T00:00:00,2024-06-01T00:00:00,1297,433,WF_W4_20260821
W5,ADANIENT,2017-06-01T00:00:00,2025-06-01T00:00:00,1482,495,WF_W5_20260821
W1,ADANIGREEN,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,ADANIGREEN,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,ADANIGREEN,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,ADANIGREEN,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ADANIGREEN,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,ADANIPORTS,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,ADANIPORTS,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,ADANIPORTS,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,ADANIPORTS,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ADANIPORTS,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,ADANIPOWER,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,ADANIPOWER,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,ADANIPOWER,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,ADANIPOWER,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ADANIPOWER,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,AMBUJACEM,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,AMBUJACEM,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,AMBUJACEM,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,AMBUJACEM,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,AMBUJACEM,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,APOLLOHOSP,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,APOLLOHOSP,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,APOLLOHOSP,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,APOLLOHOSP,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,APOLLOHOSP,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,APOLLOTYRE,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,APOLLOTYRE,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,APOLLOTYRE,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,APOLLOTYRE,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,APOLLOTYRE,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,ASHOKLEY,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,ASHOKLEY,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,ASHOKLEY,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,ASHOKLEY,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ASHOKLEY,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,ASIANPAINT,2017-06-01T00:00:00,2021-06-01T00:00:00,740,247,WF_W1_20260821
W2,ASIANPAINT,2017-06-01T00:00:00,2022-06-01T00:00:00,927,310,WF_W2_20260821
W3,ASIANPAINT,2017-06-01T00:00:00,2023-06-01T00:00:00,1113,372,WF_W3_20260821
W4,ASIANPAINT,2017-06-01T00:00:00,2024-06-01T00:00:00,1297,433,WF_W4_20260821
W5,ASIANPAINT,2017-06-01T00:00:00,2025-06-01T00:00:00,1482,495,WF_W5_20260821
W1,ASTRAL,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,ASTRAL,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,ASTRAL,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,ASTRAL,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ASTRAL,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,ATGL,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,ATGL,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,ATGL,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,ATGL,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ATGL,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,AUROPHARMA,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,AUROPHARMA,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,AUROPHARMA,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,AUROPHARMA,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,AUROPHARMA,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,AXISBANK,2017-06-01T00:00:00,2021-06-01T00:00:00,740,247,WF_W1_20260821
W2,AXISBANK,2017-06-01T00:00:00,2022-06-01T00:00:00,927,310,WF_W2_20260821
W3,AXISBANK,2017-06-01T00:00:00,2023-06-01T00:00:00,1113,372,WF_W3_20260821
W4,AXISBANK,2017-06-01T00:00:00,2024-06-01T00:00:00,1297,433,WF_W4_20260821
W5,AXISBANK,2017-06-01T00:00:00,2025-06-01T00:00:00,1482,495,WF_W5_20260821
W1,BAJAJ-AUTO,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BAJAJ-AUTO,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BAJAJ-AUTO,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BAJAJ-AUTO,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BAJAJ-AUTO,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BAJAJFINSV,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BAJAJFINSV,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BAJAJFINSV,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BAJAJFINSV,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BAJAJFINSV,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BAJAJHLDNG,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BAJAJHLDNG,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BAJAJHLDNG,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BAJAJHLDNG,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BAJAJHLDNG,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BAJFINANCE,2017-06-01T00:00:00,2021-06-01T00:00:00,740,247,WF_W1_20260821
W2,BAJFINANCE,2017-06-01T00:00:00,2022-06-01T00:00:00,927,310,WF_W2_20260821
W3,BAJFINANCE,2017-06-01T00:00:00,2023-06-01T00:00:00,1113,372,WF_W3_20260821
W4,BAJFINANCE,2017-06-01T00:00:00,2024-06-01T00:00:00,1297,433,WF_W4_20260821
W5,BAJFINANCE,2017-06-01T00:00:00,2025-06-01T00:00:00,1482,495,WF_W5_20260821
W1,BALKRISIND,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BALKRISIND,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BALKRISIND,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BALKRISIND,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BALKRISIND,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BANDHANBNK,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BANDHANBNK,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BANDHANBNK,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BANDHANBNK,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BANDHANBNK,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BANKBARODA,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
