symbol,pnl
HINDCOPPER,983903.2027185442
SUZLON,945284.0105497206
ZOMATO,936685.793848034
SJVN,803307.5626687333
HINDPETRO,712864.9865059026
VEDL,696599.1303190078
BHEL,694699.4045976099
INDUSTOWER,624498.9236097118
RVNL,614577.7061110024
ADANIPOWER,593143.2492016996
BEL,588098.4254498635
IRFC,529897.5675003133
IDBI,469288.90527733933
BANKINDIA,459679.31491694
NMDC,435872.3710503182
HINDALCO,407578.82910647505
NATIONALUM,366975.6302331163
ATGL,347613.8600371909
PAYTM,343778.7496966472
IRB,342443.2031884856
ONGC,341639.99167362717
YESBANK,338157.4286594099
MAHABANK,334403.6125790018
NYKAA,329432.42507824046
ASHOKLEY,329409.8360844512
IDFCFIRSTB,324707.1701323692
MANAPPURAM,319572.04434326536
HUDCO,288660.1332188138
PFC,285514.42766030313
RECLTD,283918.0904516995
GMRINFRA,282685.5880630574
FEDERALBNK,277595.13971923507
L&TFH,276388.9468394021
UNIONBANK,258298.58123758543
UCOBANK,247404.65590832496
TATASTEEL,236067.5878977352
SHRIRAMFIN,232354.94084442485
HINDZINC,208905.06688230103
NHPC,192190.3495887662
AXISBANK,181724.03761328978
KALYANKJIL,178312.610203395
VBL,170302.94786922212
AMBUJACEM,154227.1020102826
JINDALSTEL,148823.2307242094
PETRONET,128434.70953185711
MAZDOCK,124453.82486990123
CANBK,120982.61596157527
IOC,120468.72917749274
IRCTC,118553.47347438746
LICI,115599.74258635621
INFY,114485.38081965166
PNB,113166.41410640633
JSWENERGY,110353.56574471344
KARURVYSYA,106377.45551177554
BHARTIARTL,94023.26345026825
ADANIENT,93085.05896775081
SUNTV,88506.63849280741
ADANIPORTS,79237.1747265564
TATAPOWER,70699.46855879473
DLF,66168.99714086093
ADANIENSOL,64384.729744940705
CHAMBLFERT,63591.555519920206
SUNPHARMA,56414.006729463596
TRIDENT,44567.712210202786
TCS,43836.17498461242
CONCOR,42091.216837110405
BAJAJFINSV,40845.35118423324
SAIL,40744.76256125913
NTPC,35658.0980310535
VOLTAS,34993.28639074358
OIL,34083.362881406596
INDIANB,33960.87237634581
APOLLOTYRE,24208.889790960988
COALINDIA,22255.28611117442
HCLTECH,18188.757867833086
POONAWALLA,15180.763020633043
JSWSTEEL,11735.057654192507
SONACOMS,11009.65338203717
PRESTIGE,10229.264223743958
DABUR,9256.599619700508
ZYDUSLIFE,7668.664713823686
INDHOTEL,7505.566003952196
GLENMARK,5368.134236283002
PATANJALI,4847.658336865294
TITAN,3973.8060819607513
SIEMENS,3118.55819659579
CIPLA,3003.236745198546
HDFCLIFE,1770.16812994652
TATACONSUM,-6.017596506614609
CHOLAFIN,-684.2191115705398
SBILIFE,-1412.591404358521
CANFINHOME,-2597.958866254066
AUROPHARMA,-2804.9862681007658
BIOCON,-3218.036966101936
LT,-3285.4247490893677
ASIANPAINT,-3623.4661154060614
BANKBARODA,-4493.319774079726
KPITTECH,-6612.114909852502
MAXHEALTH,-8020.0580772554285
ADANIGREEN,-8655.278577676254
RELIANCE,-23099.70090317671
INDUSINDBK,-27682.723242341322
M&M,-30158.831626991076
HAL,-31810.860215892364
IGL,-34261.60853374616
GAIL,-35475.98276541296
COFORGE,-40653.72679799232
JUBLFOOD,-45248.34213009941
ICICIBANK,-47346.52144694396
FORTIS,-47976.84225020437
EXIDEIND,-50618.80616557794
LICHSGFIN,-56280.69359269877
BPCL,-56728.20520075261
DELHIVERY,-58342.16787348974
DRREDDY,-62685.382673699336
SBIN,-63081.827849992456
BAJFINANCE,-72809.28458842517
M&MFIN,-97499.90312563894
POWERGRID,-123149.35581984319
CGPOWER,-159645.87942997357
HDFCBANK,-235494.00272007263
BANDHANBNK,-243838.78565394983
KOTAKBANK,-276093.1652918993
ITC,-464998.5207183303
WIPRO,-574531.3781773564
