symbol,signal_date,direction,probability,entry,target,stop,exit,outcome,holding_period,exit_date,exit_reason,profit_pct
ADANIENT,2023-02-28T00:00:00,SHORT,0.58375,1361.373046875,1320.5318554687499,1402.2142382812501,2804.607666015625,EXPIRED,1,2023-12-22T00:00:00+00:00,EXPIRED,-106.01316240640553
ADANIPORTS,2021-06-11T00:00:00,LONG,0.709,839.75,864.9425,814.5575,774.2000122070312,EXPIRED,1,2022-03-31T00:00:00+00:00,EXPIRED,-7.805893157840875
ADANIPOWER,2020-11-20T00:00:00,SHORT,0.5775,7.599999904632568,7.371999907493591,7.827999901771546,19.84000015258789,EXPIRED,1,2021-09-14T00:00:00+00:00,EXPIRED,-161.05263686246164
ADANIPOWER,2020-11-27T00:00:00,SHORT,0.6085,7.699999809265137,7.468999814987183,7.930999803543091,18.90999984741211,EXPIRED,1,2021-09-21T00:00:00+00:00,EXPIRED,-145.58441968606775
ADANIPOWER,2021-08-24T00:00:00,SHORT,0.54,15.449999809265137,14.986499814987182,15.913499803543091,53.33000183105469,EXPIRED,1,2022-06-14T00:00:00+00:00,EXPIRED,-245.17800964032034
ADANIPOWER,2022-08-22T00:00:00,LONG,0.6185,86.5,89.095,83.905,53.560001373291016,EXPIRED,1,2023-06-14T00:00:00+00:00,EXPIRED,-38.08092326787166
ADANIPOWER,2022-09-23T00:00:00,LONG,0.53925,77.12000274658203,79.43360282897949,74.80640266418457,49.13999938964844,EXPIRED,1,2023-07-18T00:00:00+00:00,EXPIRED,-36.281123392690326
ADANIPOWER,2022-11-15T00:00:00,LONG,0.538,71.95999908447266,74.11879905700684,69.80119911193847,66.05000305175781,EXPIRED,1,2023-09-04T00:00:00+00:00,EXPIRED,-8.212890644672184
ADANIPOWER,2023-03-01T00:00:00,SHORT,0.634,29.260000228881836,28.38220022201538,30.13780023574829,102.51000213623047,EXPIRED,1,2023-12-26T00:00:00+00:00,EXPIRED,-250.34176806001983
ADANIPOWER,2023-03-31T00:00:00,SHORT,0.7235,36.5,35.405,37.595,103.51000213623047,EXPIRED,1,2024-01-24T00:00:00+00:00,EXPIRED,-183.58904694857662
ADANIPOWER,2024-06-04T00:00:00,LONG,0.69025,174.89999389648438,180.14699371337892,169.65299407958983,103.93000030517578,EXPIRED,1,2025-03-21T00:00:00+00:00,EXPIRED,-40.57747059345961
ADANIPOWER,2024-08-05T00:00:00,LONG,0.57475,145.27000427246094,149.62810440063478,140.9119041442871,111.72000122070312,EXPIRED,1,2025-05-27T00:00:00+00:00,EXPIRED,-23.094928109751518
ADANIPOWER,2025-01-14T00:00:00,SHORT,0.522,89.9800033569336,87.28060325622559,92.6794034576416,156.72999572753906,EXPIRED,1,2025-11-04T00:00:00+00:00,EXPIRED,-74.183140564933
ADANIPOWER,2025-05-12T00:00:00,SHORT,0.6467499999999999,102.4000015258789,99.32800148010254,105.47200157165527,144.30999755859375,EXPIRED,1,2026-02-25T00:00:00+00:00,EXPIRED,-40.92772989082739
APOLLOTYRE,2021-03-04T00:00:00,LONG,0.626,259.04998779296875,266.8214874267578,251.2784881591797,208.89999389648438,EXPIRED,1,2021-12-27T00:00:00+00:00,EXPIRED,-19.359195622338326
ASHOKLEY,2022-03-08T00:00:00,SHORT,0.5855,49.650001525878906,48.16050148010254,51.13950157165527,70.92500305175781,EXPIRED,1,2022-12-28T00:00:00+00:00,EXPIRED,-42.849951403908435
ASHOKLEY,2022-03-14T00:00:00,SHORT,0.528,53.650001525878906,52.040501480102535,55.25950157165528,74.32499694824219,EXPIRED,1,2023-01-03T00:00:00+00:00,EXPIRED,-38.53680304629699
