symbol,first_date,last_date,candle_count,expected_start,eligible
ABB,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
ACC,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
ADANIENSOL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
ADANIENT,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
ADANIGREEN,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
ADANIPORTS,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
ADANIPOWER,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
AMBUJACEM,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
APOLLOHOSP,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
APOLLOTYRE,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
ASHOKLEY,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
ASIANPAINT,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
ASTRAL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
ATGL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
AUROPHARMA,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
AXISBANK,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
BAJAJ-AUTO,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
BAJAJFINSV,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
BAJAJHLDNG,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
BAJFINANCE,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
BALKRISIND,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1644,2020-01-01,True
BANDHANBNK,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
BANKBARODA,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
BANKINDIA,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
BATAINDIA,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
BEL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
BERGEPAINT,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
BHARATFORG,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1644,2020-01-01,True
BHARTIARTL,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
BHEL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
BIOCON,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
BLUEDART,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
BOSCHLTD,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1644,2020-01-01,True
BPCL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
BRITANNIA,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
CANBK,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
CANFINHOME,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
CGPOWER,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
CHAMBLFERT,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
CHOLAFIN,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
CIPLA,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
COALINDIA,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
COFORGE,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
COLPAL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
CONCOR,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
COROMANDEL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
CROMPTON,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
CUMMINSIND,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
