symbol,name,sector,index_membership,model_name,record_count,first_date,last_date,champion_model_available,historical_data_available,V22_eligible
ACC,ACC Limited,,NIFTY_200,ACC_rf_202609091047.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
APOLLOTYRE,APOLLOTYRE Limited,,NIFTY_200,APOLLOTYRE_rf_202609090842.joblib,249,2024-09-09,2026-09-09,True,True,ELIGIBLE
CANFINHOME,CANFINHOME Limited,,NIFTY_200,CANFINHOME_rf_202609090843.joblib,249,2024-09-09,2026-09-09,True,True,ELIGIBLE
GUJGASLTD,GUJGASLTD Limited,,NIFTY_200,,0,,,False,False,INSUFFICIENT_HISTORY
MAXHEALTH,MAXHEALTH Limited,,NIFTY_200,MAXHEALTH_rf_202609091045.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
ADANIPORTS,ADANIPORTS Limited,,NIFTY_200,ADANIPORTS_rf_202609091047.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
ADANIPOWER,ADANIPOWER Limited,,NIFTY_200,ADANIPOWER_rf_202609091048.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
APOLLOHOSP,APOLLOHOSP Limited,,NIFTY_200,APOLLOHOSP_rf_202609091046.joblib,988,2021-09-09,2026-09-09,True,True,ELIGIBLE
ZOMATO,ZOMATO Limited,,NIFTY_200,ZOMATO_rf_202609090741.joblib,738,2021-09-09,2024-09-06,True,True,ELIGIBLE
ZYDUSLIFE,ZYDUSLIFE Limited,,NIFTY_200,ZYDUSLIFE_rf_202609090741.joblib,501,2024-09-09,2026-09-09,True,True,ELIGIBLE
ABB,ABB Limited,,NIFTY_200,ABB_rf_202609091047.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
AMBUJACEM,AMBUJACEM Limited,,NIFTY_200,AMBUJACEM_rf_202609090842.joblib,252,2025-09-08,2026-09-08,True,True,ELIGIBLE
BAJFINANCE,BAJFINANCE Limited,,NIFTY_200,BAJFINANCE_rf_202609091048.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
BOSCHLTD,BOSCHLTD Limited,,NIFTY_200,BOSCHLTD_rf_202609090842.joblib,251,2025-09-08,2026-09-08,True,True,ELIGIBLE
COROMANDEL,COROMANDEL Limited,,NIFTY_200,COROMANDEL_rf_202609091047.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
YESBANK,YESBANK Limited,,NIFTY_200,YESBANK_rf_202609090815.joblib,738,2021-09-09,2024-09-06,True,True,ELIGIBLE
ADANIENSOL,ADANIENSOL Limited,,NIFTY_200,ADANIENSOL_rf_202609091046.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
ADANIENT,ADANIENT Limited,,NIFTY_200,ADANIENT_rf_202609091046.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
ADANIGREEN,ADANIGREEN Limited,,NIFTY_200,ADANIGREEN_rf_202609091049.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
LTIM,LTIM Limited,,NIFTY_200,,0,,,False,False,INSUFFICIENT_HISTORY
AUROPHARMA,AUROPHARMA Limited,,NIFTY_200,AUROPHARMA_rf_202609091049.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
AXISBANK,AXISBANK Limited,,NIFTY_200,AXISBANK_rf_202609091046.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
BAJAJ-AUTO,BAJAJ-AUTO Limited,,NIFTY_200,BAJAJ-AUTO_rf_202609090842.joblib,249,2024-09-09,2026-09-09,True,True,ELIGIBLE
BAJAJFINSV,BAJAJFINSV Limited,,NIFTY_200,BAJAJFINSV_rf_202609091048.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
BAJAJHLDNG,BAJAJHLDNG Limited,,NIFTY_200,BAJAJHLDNG_rf_202609091049.joblib,988,2021-09-09,2026-09-09,True,True,ELIGIBLE
BALKRISIND,BALKRISIND Limited,,NIFTY_200,BALKRISIND_rf_202609091046.joblib,988,2021-09-09,2026-09-09,True,True,ELIGIBLE
BANDHANBNK,BANDHANBNK Limited,,NIFTY_200,BANDHANBNK_rf_202609091048.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
BANKBARODA,BANKBARODA Limited,,NIFTY_200,BANKBARODA_rf_202609091046.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
BANKINDIA,BANKINDIA Limited,,NIFTY_200,BANKINDIA_rf_202609091046.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
BATAINDIA,BATAINDIA Limited,,NIFTY_200,BATAINDIA_rf_202609091047.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
BEL,BEL Limited,,NIFTY_200,BEL_rf_202609090842.joblib,249,2024-09-09,2026-09-09,True,True,ELIGIBLE
BERGEPAINT,BERGEPAINT Limited,,NIFTY_200,BERGEPAINT_rf_202609091046.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
BHARATFORG,BHARATFORG Limited,,NIFTY_200,BHARATFORG_rf_202609091048.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
BHARTIARTL,BHARTIARTL Limited,,NIFTY_200,BHARTIARTL_rf_202609091048.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
BHEL,BHEL Limited,,NIFTY_200,BHEL_rf_202609091045.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
BIOCON,BIOCON Limited,,NIFTY_200,BIOCON_rf_202609091045.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
BLUEDART,BLUEDART Limited,,NIFTY_200,BLUEDART_rf_202609091047.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
BPCL,BPCL Limited,,NIFTY_200,BPCL_rf_202609091047.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
BRITANNIA,BRITANNIA Limited,,NIFTY_200,BRITANNIA_rf_202609091046.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
CANBK,CANBK Limited,,NIFTY_200,CANBK_rf_202609091046.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
CGPOWER,CGPOWER Limited,,NIFTY_200,CGPOWER_rf_202609091046.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
CHAMBLFERT,CHAMBLFERT Limited,,NIFTY_200,CHAMBLFERT_rf_202609091048.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
CHOLAFIN,CHOLAFIN Limited,,NIFTY_200,CHOLAFIN_rf_202609091048.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
CIPLA,CIPLA Limited,,NIFTY_200,CIPLA_rf_202609091046.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
COALINDIA,COALINDIA Limited,,NIFTY_200,COALINDIA_rf_202609091048.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
COFORGE,COFORGE Limited,,NIFTY_200,COFORGE_rf_202609091048.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
COLPAL,COLPAL Limited,,NIFTY_200,COLPAL_rf_202609090843.joblib,252,2025-09-08,2026-09-08,True,True,ELIGIBLE
CONCOR,CONCOR Limited,,NIFTY_200,CONCOR_rf_202609091049.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
CROMPTON,CROMPTON Limited,,NIFTY_200,CROMPTON_rf_202609090843.joblib,249,2024-09-09,2026-09-09,True,True,ELIGIBLE
CUMMINSIND,CUMMINSIND Limited,,NIFTY_200,CUMMINSIND_rf_202609091048.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
DABUR,DABUR Limited,,NIFTY_200,DABUR_rf_202609091049.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
DALBHARAT,DALBHARAT Limited,,NIFTY_200,DALBHARAT_rf_202609091049.joblib,988,2021-09-09,2026-09-08,True,True,ELIGIBLE
DEEPAKNTR,DEEPAKNTR Limited,,NIFTY_200,DEEPAKNTR_rf_202609090843.joblib,249,2024-09-09,2026-09-09,True,True,ELIGIBLE
DELHIVERY,DELHIVERY Limited,,NIFTY_200,DELHIVERY_rf_202609090843.joblib,251,2025-09-08,2026-09-08,True,True,ELIGIBLE
DIVISLAB,DIVISLAB Limited,,NIFTY_200,DIVISLAB_rf_202609091047.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
DIXON,DIXON Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
ASIANPAINT,ASIANPAINT Limited,,NIFTY_200,ASIANPAINT_rf_202609091047.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
DLF,DLF Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
DRREDDY,DRREDDY Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
ESCORTS,ESCORTS Limited,,NIFTY_200,ESCORTS_rf_202609090844.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
EXIDEIND,EXIDEIND Limited,,NIFTY_200,EXIDEIND_rf_202609090844.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
HEROMOTOCO,HEROMOTOCO Limited,,NIFTY_200,HEROMOTOCO_rf_202609090844.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
FORTIS,FORTIS Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
GAIL,GAIL Limited,,NIFTY_200,GAIL_rf_202609091046.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
ATGL,ATGL Limited,,NIFTY_200,ATGL_rf_202609091047.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
GLENMARK,GLENMARK Limited,,NIFTY_200,GLENMARK_rf_202609090844.joblib,250,2024-09-09,2026-09-09,True,True,ELIGIBLE
GMRINFRA,GMRINFRA Limited,,NIFTY_200,GMRINFRA_rf_202609091047.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
GODREJPROP,GODREJPROP Limited,,NIFTY_200,GODREJPROP_rf_202609091049.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
