symbol,WEAK_EDGE,TREND_CONFLICT_BULLISH,REASON,INSIGNIFICANT_MOMENTUM,TREND_CONFLICT_BEARISH,SIGNAL_QUALIFIED
MAXHEALTH,1.0,0.0,0,0.0,0.0,0.0
ADANIPOWER,0.0,25.0,0,0.0,0.0,0.0
APOLLOHOSP,0.0,1.0,0,0.0,0.0,0.0
ZOMATO,0.0,0.0,NO_DATA_IN_WINDOW,0.0,0.0,0.0
ZYDUSLIFE,0.0,4.0,0,3.0,4.0,14.0
ABB,0.0,1.0,0,0.0,0.0,0.0
AMBUJACEM,5.0,0.0,0,6.0,5.0,9.0
BAJFINANCE,0.0,19.0,0,0.0,0.0,6.0
BOSCHLTD,7.0,10.0,0,3.0,0.0,5.0
COROMANDEL,1.0,10.0,0,0.0,9.0,5.0
YESBANK,0.0,0.0,NO_DATA_IN_WINDOW,0.0,0.0,0.0
ADANIENSOL,0.0,1.0,0,0.0,0.0,0.0
ADANIENT,1.0,19.0,0,0.0,0.0,5.0
ADANIGREEN,0.0,19.0,0,0.0,0.0,6.0
AUROPHARMA,0.0,1.0,0,0.0,0.0,0.0
AXISBANK,0.0,1.0,0,0.0,0.0,0.0
BAJAJ-AUTO,0.0,1.0,0,0.0,0.0,0.0
BAJAJFINSV,0.0,1.0,0,0.0,0.0,0.0
BAJAJHLDNG,1.0,0.0,0,0.0,0.0,0.0
BALKRISIND,0.0,0.0,0,0.0,0.0,1.0
