symbol,index_membership,sector,industry,model_name,model_version,record_count,first_date,last_date,signal_count,champion_model_available,historical_data_available,eligibility,actually_scanned
ACC,NIFTY_200,,,ACC_rf_202609091047.joblib,202609091047,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
APOLLOTYRE,NIFTY_200,,,APOLLOTYRE_rf_202609090842.joblib,202609090842,249.0,2024-09-09,2026-09-09,0,True,True,ELIGIBLE,True
CANFINHOME,NIFTY_200,,,CANFINHOME_rf_202609090843.joblib,202609090843,249.0,2024-09-09,2026-09-09,0,True,True,ELIGIBLE,True
GUJGASLTD,NIFTY_200,,,,,,,,0,False,False,MODEL_UNAVAILABLE,False
MAXHEALTH,NIFTY_200,,,MAXHEALTH_rf_202609091045.joblib,202609091045,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
ADANIPORTS,NIFTY_200,,,ADANIPORTS_rf_202609091047.joblib,202609091047,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
ADANIPOWER,NIFTY_200,,,ADANIPOWER_rf_202609091048.joblib,202609091048,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
APOLLOHOSP,NIFTY_200,,,APOLLOHOSP_rf_202609091046.joblib,202609091046,988.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
ZOMATO,NIFTY_200,,,ZOMATO_rf_202609090741.joblib,202609090741,738.0,2021-09-09,2024-09-06,0,True,True,ELIGIBLE,True
ZYDUSLIFE,NIFTY_200,,,ZYDUSLIFE_rf_202609090741.joblib,202609090741,501.0,2024-09-09,2026-09-09,0,True,True,ELIGIBLE,True
ABB,NIFTY_200,,,ABB_rf_202609091047.joblib,202609091047,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
AMBUJACEM,NIFTY_200,,,AMBUJACEM_rf_202609090842.joblib,202609090842,252.0,2025-09-08,2026-09-08,0,True,True,ELIGIBLE,True
BAJFINANCE,NIFTY_200,,,BAJFINANCE_rf_202609091048.joblib,202609091048,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
BOSCHLTD,NIFTY_200,,,BOSCHLTD_rf_202609090842.joblib,202609090842,251.0,2025-09-08,2026-09-08,0,True,True,ELIGIBLE,True
COROMANDEL,NIFTY_200,,,COROMANDEL_rf_202609091047.joblib,202609091047,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
YESBANK,NIFTY_200,,,YESBANK_rf_202609090815.joblib,202609090815,738.0,2021-09-09,2024-09-06,0,True,True,ELIGIBLE,True
ADANIENSOL,NIFTY_200,,,ADANIENSOL_rf_202609091046.joblib,202609091046,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
ADANIENT,NIFTY_200,,,ADANIENT_rf_202609091046.joblib,202609091046,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
ADANIGREEN,NIFTY_200,,,ADANIGREEN_rf_202609091049.joblib,202609091049,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
LTIM,NIFTY_200,,,,,,,,0,False,False,MODEL_UNAVAILABLE,False
AUROPHARMA,NIFTY_200,,,AUROPHARMA_rf_202609091049.joblib,202609091049,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
AXISBANK,NIFTY_200,,,AXISBANK_rf_202609091046.joblib,202609091046,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
BAJAJ-AUTO,NIFTY_200,,,BAJAJ-AUTO_rf_202609090842.joblib,202609090842,249.0,2024-09-09,2026-09-09,0,True,True,ELIGIBLE,True
BAJAJFINSV,NIFTY_200,,,BAJAJFINSV_rf_202609091048.joblib,202609091048,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
BAJAJHLDNG,NIFTY_200,,,BAJAJHLDNG_rf_202609091049.joblib,202609091049,988.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
BALKRISIND,NIFTY_200,,,BALKRISIND_rf_202609091046.joblib,202609091046,988.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
BANDHANBNK,NIFTY_200,,,BANDHANBNK_rf_202609091048.joblib,202609091048,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
BANKBARODA,NIFTY_200,,,BANKBARODA_rf_202609091046.joblib,202609091046,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
