symbol,name,nifty200_member,model_version,historical_bar_count,start_date,end_date,signal_count,target_count,stop_count,status
ACC,ACC Limited,NIFTY_200,202609091047,989,2021-09-09,2026-09-08,60,32.0,28.0,SIGNAL_GENERATED
APOLLOTYRE,APOLLOTYRE Limited,NIFTY_200,202609090842,249,2024-09-09,2026-09-09,1,0.0,0.0,SIGNAL_GENERATED
CANFINHOME,CANFINHOME Limited,NIFTY_200,202609090843,249,2024-09-09,2026-09-09,1,0.0,0.0,SIGNAL_GENERATED
GUJGASLTD,GUJGASLTD Limited,NIFTY_200,,0,,,0,,,NO_HISTORICAL_DATA
MAXHEALTH,MAXHEALTH Limited,NIFTY_200,202609091045,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
ADANIPORTS,ADANIPORTS Limited,NIFTY_200,202609091047,989,2021-09-09,2026-09-08,25,11.0,14.0,SIGNAL_GENERATED
ADANIPOWER,ADANIPOWER Limited,NIFTY_200,202609091048,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
APOLLOHOSP,APOLLOHOSP Limited,NIFTY_200,202609091046,988,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
ZOMATO,ZOMATO Limited,NIFTY_200,202609090741,738,2021-09-09,2024-09-06,0,,,V22_CONDITION_NOT_MET
ZYDUSLIFE,ZYDUSLIFE Limited,NIFTY_200,202609090741,501,2024-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
ABB,ABB Limited,NIFTY_200,202609091047,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
AMBUJACEM,AMBUJACEM Limited,NIFTY_200,202609090842,252,2025-09-08,2026-09-08,0,,,V22_CONDITION_NOT_MET
BAJFINANCE,BAJFINANCE Limited,NIFTY_200,202609091048,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
BOSCHLTD,BOSCHLTD Limited,NIFTY_200,202609090842,251,2025-09-08,2026-09-08,0,,,V22_CONDITION_NOT_MET
COROMANDEL,COROMANDEL Limited,NIFTY_200,202609091047,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
