symbol,universe_version,provider,equity_instrument_id,equity_data_status,signal_capable,futures_eligible,options_eligible
ABB,NIFTY_200_AUG2026,YFinanceProvider,ABB.NS,FRESH,True,True,True
ACC,NIFTY_200_AUG2026,YFinanceProvider,ACC.NS,FRESH,True,True,True
ADANIENSOL,NIFTY_200_AUG2026,YFinanceProvider,ADANIENSOL.NS,FRESH,True,True,True
ADANIENT,NIFTY_200_AUG2026,YFinanceProvider,ADANIENT.NS,FRESH,True,True,True
ADANIGREEN,NIFTY_200_AUG2026,YFinanceProvider,ADANIGREEN.NS,FRESH,True,True,True
ADANIPORTS,NIFTY_200_AUG2026,YFinanceProvider,ADANIPORTS.NS,FRESH,True,True,True
ADANIPOWER,NIFTY_200_AUG2026,YFinanceProvider,ADANIPOWER.NS,FRESH,True,True,True
AMBUJACEM,NIFTY_200_AUG2026,YFinanceProvider,AMBUJACEM.NS,FRESH,True,True,True
APOLLOHOSP,NIFTY_200_AUG2026,YFinanceProvider,APOLLOHOSP.NS,FRESH,True,True,True
APOLLOTYRE,NIFTY_200_AUG2026,YFinanceProvider,APOLLOTYRE.NS,FRESH,True,True,True
ASHOKLEY,NIFTY_200_AUG2026,YFinanceProvider,ASHOKLEY.NS,FRESH,True,True,True
ASIANPAINT,NIFTY_200_AUG2026,YFinanceProvider,ASIANPAINT.NS,FRESH,True,True,True
ASTRAL,NIFTY_200_AUG2026,YFinanceProvider,ASTRAL.NS,FRESH,True,True,True
ATGL,NIFTY_200_AUG2026,YFinanceProvider,ATGL.NS,FRESH,True,True,True
AUROPHARMA,NIFTY_200_AUG2026,YFinanceProvider,AUROPHARMA.NS,FRESH,True,True,True
AXISBANK,NIFTY_200_AUG2026,YFinanceProvider,AXISBANK.NS,FRESH,True,True,True
BAJAJ-AUTO,NIFTY_200_AUG2026,YFinanceProvider,BAJAJ-AUTO.NS,FRESH,True,True,True
BAJAJFINSV,NIFTY_200_AUG2026,YFinanceProvider,BAJAJFINSV.NS,FRESH,True,True,True
BAJAJHLDNG,NIFTY_200_AUG2026,YFinanceProvider,BAJAJHLDNG.NS,FRESH,True,True,True
BAJFINANCE,NIFTY_200_AUG2026,YFinanceProvider,BAJFINANCE.NS,FRESH,True,True,True
BALKRISIND,NIFTY_200_AUG2026,YFinanceProvider,BALKRISIND.NS,FRESH,True,True,True
