underlying,instrument_type,instrument_id,price,price_status,eligibility
NIFTY,FUTURE,NIFTY_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
NIFTY,OPTION,NIFTY_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANKNIFTY,FUTURE,BANKNIFTY_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANKNIFTY,OPTION,BANKNIFTY_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ADANIPORTS,FUTURE,ADANIPORTS_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ADANIPORTS,OPTION,ADANIPORTS_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
APOLLOTYRE,FUTURE,APOLLOTYRE_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
APOLLOTYRE,OPTION,APOLLOTYRE_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ADANIPOWER,FUTURE,ADANIPOWER_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ADANIPOWER,OPTION,ADANIPOWER_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ASTRAL,FUTURE,ASTRAL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ASTRAL,OPTION,ASTRAL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BAJAJ-AUTO,FUTURE,BAJAJ-AUTO_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BAJAJ-AUTO,OPTION,BAJAJ-AUTO_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CIPLA,FUTURE,CIPLA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CIPLA,OPTION,CIPLA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CUMMINSIND,FUTURE,CUMMINSIND_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CUMMINSIND,OPTION,CUMMINSIND_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DABUR,FUTURE,DABUR_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DABUR,OPTION,DABUR_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ATGL,FUTURE,ATGL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ATGL,OPTION,ATGL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
INDIAMART,FUTURE,INDIAMART_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
INDIAMART,OPTION,INDIAMART_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ADANIENSOL,FUTURE,ADANIENSOL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ADANIENSOL,OPTION,ADANIENSOL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANDHANBNK,FUTURE,BANDHANBNK_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANDHANBNK,OPTION,BANDHANBNK_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BRITANNIA,FUTURE,BRITANNIA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BRITANNIA,OPTION,BRITANNIA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CGPOWER,FUTURE,CGPOWER_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CGPOWER,OPTION,CGPOWER_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
AUROPHARMA,FUTURE,AUROPHARMA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
AUROPHARMA,OPTION,AUROPHARMA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
KALYANKJIL,FUTURE,KALYANKJIL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
KALYANKJIL,OPTION,KALYANKJIL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
KANSAINER,FUTURE,KANSAINER_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
KANSAINER,OPTION,KANSAINER_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ADANIENT,FUTURE,ADANIENT_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ADANIENT,OPTION,ADANIENT_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BAJAJFINSV,FUTURE,BAJAJFINSV_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BAJAJFINSV,OPTION,BAJAJFINSV_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BAJFINANCE,FUTURE,BAJFINANCE_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BAJFINANCE,OPTION,BAJFINANCE_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
KEI,FUTURE,KEI_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
KEI,OPTION,KEI_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
KPITTECH,FUTURE,KPITTECH_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
KPITTECH,OPTION,KPITTECH_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BALKRISIND,FUTURE,BALKRISIND_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BALKRISIND,OPTION,BALKRISIND_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANKBARODA,FUTURE,BANKBARODA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANKBARODA,OPTION,BANKBARODA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANKINDIA,FUTURE,BANKINDIA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANKINDIA,OPTION,BANKINDIA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BATAINDIA,FUTURE,BATAINDIA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BATAINDIA,OPTION,BATAINDIA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BEL,FUTURE,BEL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BEL,OPTION,BEL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BERGEPAINT,FUTURE,BERGEPAINT_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BERGEPAINT,OPTION,BERGEPAINT_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BHARATFORG,FUTURE,BHARATFORG_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BHARATFORG,OPTION,BHARATFORG_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BHARTIARTL,FUTURE,BHARTIARTL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BHARTIARTL,OPTION,BHARTIARTL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BLUEDART,FUTURE,BLUEDART_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BLUEDART,OPTION,BLUEDART_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BOSCHLTD,FUTURE,BOSCHLTD_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BOSCHLTD,OPTION,BOSCHLTD_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
PETRONET,FUTURE,PETRONET_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
PETRONET,OPTION,PETRONET_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CANBK,FUTURE,CANBK_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CANBK,OPTION,CANBK_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CANFINHOME,FUTURE,CANFINHOME_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
