symbol,equity_status,reason,price
ABB,SUPPORTED,OK,7500.5
ACC,SUPPORTED,OK,1309.300048828125
ADANIENSOL,SUPPORTED,OK,1572.0
ADANIENT,SUPPORTED,OK,3137.10009765625
ADANIGREEN,SUPPORTED,OK,1309.699951171875
ADANIPORTS,SUPPORTED,OK,1701.0
ADANIPOWER,SUPPORTED,OK,211.4600067138672
AMBUJACEM,SUPPORTED,OK,411.29998779296875
APOLLOHOSP,SUPPORTED,OK,8868.0
APOLLOTYRE,SUPPORTED,OK,449.3999938964844
ASHOKLEY,SUPPORTED,OK,175.75
ASIANPAINT,SUPPORTED,OK,2594.300048828125
ASTRAL,SUPPORTED,OK,1537.0
ATGL,SUPPORTED,OK,639.0
AUROPHARMA,SUPPORTED,OK,1627.0
AXISBANK,SUPPORTED,OK,1261.5
BAJAJ-AUTO,SUPPORTED,OK,11952.0
BAJAJFINSV,SUPPORTED,OK,1987.0
BAJAJHLDNG,SUPPORTED,OK,11349.0
BAJFINANCE,SUPPORTED,OK,1073.5
BALKRISIND,SUPPORTED,OK,2353.60009765625
BANDHANBNK,SUPPORTED,OK,168.75
BANKBARODA,SUPPORTED,OK,239.86000061035156
BANKINDIA,SUPPORTED,OK,143.3000030517578
BATAINDIA,SUPPORTED,OK,680.0
BEL,SUPPORTED,OK,409.1000061035156
BERGEPAINT,SUPPORTED,OK,495.6499938964844
BHARATFORG,SUPPORTED,OK,2025.0
BHARTIARTL,SUPPORTED,OK,1869.5
BHEL,SUPPORTED,OK,429.3500061035156
BIOCON,SUPPORTED,OK,410.6499938964844
BLUEDART,SUPPORTED,OK,4990.0
BOSCHLTD,SUPPORTED,OK,48650.0
BPCL,SUPPORTED,OK,317.0
BRITANNIA,SUPPORTED,OK,5288.5
CANBK,SUPPORTED,OK,127.3499984741211
CANFINHOME,SUPPORTED,OK,813.5999755859375
CGPOWER,SUPPORTED,OK,887.7000122070312
CHAMBLFERT,SUPPORTED,OK,421.79998779296875
CHOLAFIN,SUPPORTED,OK,1854.199951171875
CIPLA,SUPPORTED,OK,1411.5999755859375
COALINDIA,SUPPORTED,OK,402.1000061035156
COFORGE,SUPPORTED,OK,1972.0
COLPAL,SUPPORTED,OK,1831.300048828125
