symbol,fo_eligible,options_count
ABB,False,0
ACC,False,0
ADANIENSOL,False,0
ADANIENT,False,0
ADANIGREEN,False,0
ADANIPORTS,False,0
ADANIPOWER,False,0
AMBUJACEM,False,0
APOLLOHOSP,False,0
APOLLOTYRE,False,0
ASHOKLEY,False,0
ASIANPAINT,False,0
ASTRAL,False,0
ATGL,False,0
AUROPHARMA,False,0
AXISBANK,False,0
BAJAJ-AUTO,False,0
BAJAJFINSV,False,0
BAJAJHLDNG,False,0
BAJFINANCE,False,0
BALKRISIND,False,0
BANDHANBNK,False,0
BANKBARODA,False,0
BANKINDIA,False,0
BATAINDIA,False,0
BEL,False,0
BERGEPAINT,False,0
BHARATFORG,False,0
BHARTIARTL,False,0
BHEL,False,0
BIOCON,False,0
BLUEDART,False,0
BOSCHLTD,False,0
BPCL,False,0
BRITANNIA,False,0
CANBK,False,0
CANFINHOME,False,0
CGPOWER,False,0
CHAMBLFERT,False,0
CHOLAFIN,False,0
CIPLA,False,0
COALINDIA,False,0
COFORGE,False,0
COLPAL,False,0
CONCOR,False,0
COROMANDEL,False,0
CROMPTON,False,0
CUMMINSIND,False,0
DABUR,False,0
DALBHARAT,False,0
DEEPAKNTR,False,0
DELHIVERY,False,0
DIVISLAB,False,0
DIXON,False,0
DLF,False,0
DRREDDY,False,0
EICHERMOT,False,0
ESCORTS,False,0
EXIDEIND,False,0
FEDERALBNK,False,0
FORTIS,False,0
GAIL,False,0
GLENMARK,False,0
GMRINFRA,False,0
GODREJCP,False,0
GODREJPROP,False,0
GRASIM,False,0
GUJGASLTD,False,0
HAL,False,0
HAVELLS,False,0
HCLTECH,False,0
HDFCBANK,False,0
HDFCLIFE,False,0
HEROMOTOCO,False,0
HINDALCO,False,0
HINDCOPPER,False,0
HINDPETRO,False,0
HINDUNILVR,False,0
HINDZINC,False,0
HUDCO,False,0
ICICIBANK,False,0
ICICIGI,False,0
ICICIPRULI,False,0
IDBI,False,0
IDFCFIRSTB,False,0
IGL,False,0
INDHOTEL,False,0
INDIAMART,False,0
INDIANB,False,0
INDIGO,False,0
INDUSINDBK,False,0
INDUSTOWER,False,0
INFY,False,0
IOC,False,0
IRB,False,0
IRCTC,False,0
IRFC,False,0
ITC,False,0
JINDALSTEL,False,0
JSWENERGY,False,0
JSWSTEEL,False,0
JUBLFOOD,False,0
KALYANKJIL,False,0
KANSAINER,False,0
KARURVYSYA,False,0
KEI,False,0
KOTAKBANK,False,0
KPITTECH,False,0
L&TFH,False,0
LICHSGFIN,False,0
LICI,False,0
LT,False,0
LTIM,False,0
LUPIN,False,0
M&M,False,0
M&MFIN,False,0
MAHABANK,False,0
MANAPPURAM,False,0
MARICO,False,0
MARUTI,False,0
MAXHEALTH,False,0
MAZDOCK,False,0
MFSL,False,0
MGL,False,0
MPHASIS,False,0
MRF,False,0
MUTHOOTFIN,False,0
NATIONALUM,False,0
NAVINFLUOR,False,0
NESTLEIND,False,0
NHPC,False,0
NMDC,False,0
NTPC,False,0
NYKAA,False,0
OBEROIRLTY,False,0
OIL,False,0
ONGC,False,0
PAGEIND,False,0
PATANJALI,False,0
PAYTM,False,0
PEL,False,0
PERSISTENT,False,0
PETRONET,False,0
PFC,False,0
PHOENIXLTD,False,0
PIDILITIND,False,0
PIIND,False,0
PNB,False,0
POLYCAB,False,0
POONAWALLA,False,0
POWERGRID,False,0
PRESTIGE,False,0
PVRINOX,False,0
RADICO,False,0
RECLTD,False,0
RELIANCE,False,0
RVNL,False,0
SAIL,False,0
SBICARD,False,0
SBILIFE,False,0
SBIN,False,0
SHREECEM,False,0
SHRIRAMFIN,False,0
SIEMENS,False,0
SJVN,False,0
SKFINDIA,False,0
SONACOMS,False,0
SRF,False,0
SUNPHARMA,False,0
SUNTV,False,0
SUPREMEIND,False,0
SUZLON,False,0
SYNGENE,False,0
TATACOMM,False,0
TATACONSUM,False,0
TATAELXSI,False,0
TATAMOTORS,False,0
TATAPOWER,False,0
TATASTEEL,False,0
TCS,False,0
TECHM,False,0
TIINDIA,False,0
TITAN,False,0
TORNTPHARM,False,0
TORNTPOWER,False,0
TRENT,False,0
TRIDENT,False,0
UBL,False,0
UCOBANK,False,0
ULTRACEMCO,False,0
UNIONBANK,False,0
UNITDSPR,False,0
VBL,False,0
VEDL,False,0
VOLTAS,False,0
WHIRLPOOL,False,0
WIPRO,False,0
YESBANK,False,0
ZOMATO,False,0
ZYDUSLIFE,False,0
