id,symbol,asset_class,identity,pricing,linkage,overall
sig_FORTIS_202608241002,FORTIS,EQUITY,PASS,PASS,NOT_APPLICABLE,CERTIFIED
master_opt_RELIANCE_3100_122636,RELIANCE,OPTIONS,PASS,FAIL,NOT_APPLICABLE,NOT_CERTIFIED
master_opt_SBIN_860_122636,SBIN,OPTIONS,PASS,FAIL,NOT_APPLICABLE,NOT_CERTIFIED
master_fut_RELIANCE_122636,RELIANCE,FUTURES,PASS,FAIL,NOT_APPLICABLE,NOT_CERTIFIED
master_fut_BANKNIFTY_122636,BANKNIFTY,FUTURES,PASS,FAIL,NOT_APPLICABLE,NOT_CERTIFIED
master_opt_NIFTY_25000_122636,NIFTY,OPTIONS,PASS,FAIL,NOT_APPLICABLE,NOT_CERTIFIED
master_fut_NIFTY_122636,NIFTY,FUTURES,PASS,FAIL,NOT_APPLICABLE,NOT_CERTIFIED
sig_APOLLOHOSP_202608240938,APOLLOHOSP,EQUITY,PASS,PASS,NOT_APPLICABLE,CERTIFIED
sig_BIOCON_202608240939,BIOCON,EQUITY,PASS,PASS,NOT_APPLICABLE,CERTIFIED
master_eq_INFY_122636,INFY,EQUITY,PASS,PASS,NOT_APPLICABLE,CERTIFIED
master_eq_ITC_122636,ITC,EQUITY,PASS,PASS,NOT_APPLICABLE,CERTIFIED
master_eq_LT_122636,LT,EQUITY,PASS,PASS,NOT_APPLICABLE,CERTIFIED
master_eq_RELIANCE_122636,RELIANCE,EQUITY,PASS,PASS,NOT_APPLICABLE,CERTIFIED
master_eq_TCS_122636,TCS,EQUITY,PASS,PASS,NOT_APPLICABLE,CERTIFIED
