id,symbol,asset_class,created_at,legacy,identity,pricing,prediction,provenance,risk_reward,overall_status
sig_FORTIS_202608241002,FORTIS,EQUITY,2026-08-24T10:02:48.435422,True,PASS,PASS,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
master_opt_RELIANCE_3100_122636,RELIANCE,OPTIONS,2026-08-27T12:26:36.295273,True,PASS,FAIL,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
master_opt_SBIN_860_122636,SBIN,OPTIONS,2026-08-27T12:26:36.295273,True,PASS,FAIL,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
sig_RELIANCE_1788653690,RELIANCE,EQUITY,2026-09-06T05:44:51.722293,False,PASS,UNAVAILABLE,5423fe79-82d0-4936-aa8a-0366ea38cdc7,prov_1aa8e850b726,PASS,NOT_CERTIFIED
master_fut_RELIANCE_122636,RELIANCE,FUTURES,2026-08-27T12:26:36.295273,True,PASS,FAIL,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
master_fut_BANKNIFTY_122636,BANKNIFTY,FUTURES,2026-08-27T12:26:36.295273,True,PASS,FAIL,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
master_opt_NIFTY_25000_122636,NIFTY,OPTIONS,2026-08-27T12:26:36.295273,True,PASS,FAIL,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
master_fut_NIFTY_122636,NIFTY,FUTURES,2026-08-27T12:26:36.295273,True,PASS,FAIL,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
sig_APOLLOHOSP_202608240938,APOLLOHOSP,EQUITY,2026-08-24T09:38:47.763522,True,PASS,PASS,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
sig_BIOCON_202608240939,BIOCON,EQUITY,2026-08-24T09:39:32.123058,True,PASS,PASS,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
master_eq_INFY_122636,INFY,EQUITY,2026-08-27T12:26:36.295273,True,PASS,PASS,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
master_eq_ITC_122636,ITC,EQUITY,2026-08-27T12:26:36.295273,True,PASS,PASS,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
master_eq_LT_122636,LT,EQUITY,2026-08-27T12:26:36.295273,True,PASS,PASS,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
master_eq_RELIANCE_122636,RELIANCE,EQUITY,2026-08-27T12:26:36.295273,True,PASS,PASS,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
master_eq_TCS_122636,TCS,EQUITY,2026-08-27T12:26:36.295273,True,PASS,PASS,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,PASS,LEGACY_MONITORING
