id,symbol,asset_class,legacy,current_price,price_status,prediction_id,provenance_id,decision_id
sig_RELIANCE_1788653690,RELIANCE,EQUITY,False,1309.199951171875,FRESH,5423fe79-82d0-4936-aa8a-0366ea38cdc7,prov_1aa8e850b726,dec_sig_RELIANCE_1788653690
master_opt_RELIANCE_3100_122636,RELIANCE,OPTIONS,True,,PROVIDER_UNSUPPORTED,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
master_opt_SBIN_860_122636,SBIN,OPTIONS,True,,PROVIDER_UNSUPPORTED,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
sig_FORTIS_202608241002,FORTIS,EQUITY,True,897.4500122070312,FRESH,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
master_fut_BANKNIFTY_122636,BANKNIFTY,FUTURES,True,,PROVIDER_UNSUPPORTED,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
master_fut_RELIANCE_122636,RELIANCE,FUTURES,True,,PROVIDER_UNSUPPORTED,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
sig_APOLLOHOSP_202608240938,APOLLOHOSP,EQUITY,True,8710.5,FRESH,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
sig_BIOCON_202608240939,BIOCON,EQUITY,True,390.45001220703125,FRESH,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
master_opt_NIFTY_25000_122636,NIFTY,OPTIONS,True,,PROVIDER_UNSUPPORTED,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
master_fut_NIFTY_122636,NIFTY,FUTURES,True,,PROVIDER_UNSUPPORTED,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
master_eq_INFY_122636,INFY,EQUITY,True,1090.5999755859375,FRESH,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
master_eq_ITC_122636,ITC,EQUITY,True,263.29998779296875,FRESH,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
master_eq_LT_122636,LT,EQUITY,True,3977.5,FRESH,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
master_eq_RELIANCE_122636,RELIANCE,EQUITY,True,1309.0,FRESH,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
master_eq_TCS_122636,TCS,EQUITY,True,2270.5,FRESH,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,
