id,symbol,asset,instr,premium,status
sig_RELIANCE_1788653690,RELIANCE,EQUITY,RELIANCE.NS,,FRESH
master_opt_RELIANCE_3100_122636,RELIANCE,OPTIONS,RELIANCE3100CE,,PROVIDER_UNSUPPORTED
master_opt_SBIN_860_122636,SBIN,OPTIONS,SBIN860CE,,PROVIDER_UNSUPPORTED
sig_FORTIS_202608241002,FORTIS,EQUITY,FORTIS.NS,,FRESH
master_fut_BANKNIFTY_122636,BANKNIFTY,FUTURES,BANKNIFTY26AUGFUT,,PROVIDER_UNSUPPORTED
master_fut_RELIANCE_122636,RELIANCE,FUTURES,RELIANCE26AUGFUT,,PROVIDER_UNSUPPORTED
sig_APOLLOHOSP_202608240938,APOLLOHOSP,EQUITY,APOLLOHOSP.NS,,FRESH
sig_BIOCON_202608240939,BIOCON,EQUITY,BIOCON.NS,,FRESH
master_opt_NIFTY_25000_122636,NIFTY,OPTIONS,NIFTY25000CE,,PROVIDER_UNSUPPORTED
master_fut_NIFTY_122636,NIFTY,FUTURES,NIFTY26AUGFUT,,PROVIDER_UNSUPPORTED
master_eq_INFY_122636,INFY,EQUITY,INFY.NS,,FRESH
master_eq_ITC_122636,ITC,EQUITY,ITC.NS,,FRESH
master_eq_LT_122636,LT,EQUITY,LT.NS,,FRESH
master_eq_RELIANCE_122636,RELIANCE,EQUITY,RELIANCE.NS,,FRESH
master_eq_TCS_122636,TCS,EQUITY,TCS.NS,,FRESH
