signal_id,symbol,direction,created_at,entry,target,stop,status,exit_timestamp,pnl_percentage,strategy_version,model_version,evaluation_mode,outcome_verified,prediction_id,provenance_id,mae,mfe,current_price,data_timestamp,original_source,net_pnl,exit_price,verification_level,original_evaluation_mode,canonical_evaluation_mode
21a52a86-d543-49a2-8cfe-f056417305cd,TCS,LONG,2026-08-15 09:59:29.918401,120.5,180.0,95.0,TARGET_HIT,2026-08-17 00:00:00.000000,1851.0373443983403,v2.2,TradeMind F&O v1.1,LIVE_SHADOW,False,,,0.0,0.0,,,live_signals,1850.8373443983403,,1,LIVE_SHADOW,LEGACY_LOG
28b6c1c6-ae07-4eac-92ac-02d326b0441d,RELIANCE,LONG,2026-08-15 11:59:29.918401,45.2,75.0,30.0,TARGET_HIT,2026-08-17 00:00:00.000000,2807.079646017699,v2.2,TradeMind F&O v1.1,LIVE_SHADOW,False,,,0.0,0.0,,,live_signals,2806.879646017699,,1,LIVE_SHADOW,LEGACY_LOG
61ac1904-ba26-47e4-977e-8145b663478b,BANKNIFTY,SHORT,2026-08-15 07:59:29.918401,52500.0,51800.0,52850.0,EXPIRED,2026-08-17 03:45:00.000000,-9.43609375,v2.2,TradeMind F&O v1.1,LIVE_SHADOW,False,,,0.0,0.0,,,live_signals,-9.63609375,,1,LIVE_SHADOW,LEGACY_LOG
6675d119-839d-4666-bef0-4365b5c3a226,SBIN,LONG,2026-08-08 11:59:29.918401,820.0,880.0,795.0,STOP_LOSS,2026-08-12 11:59:29.918401,-3.05,v2.2,TradeMind F&O v1.1,LIVE_SHADOW,False,,,,,,,live_signals,-3.25,,1,LIVE_SHADOW,LEGACY_LOG
8634b13e-32b5-4150-83a6-920c17ca6685,INFY,LONG,2026-08-10 11:59:29.918401,35.0,55.0,25.0,TARGET_HIT,2026-08-14 11:59:29.918401,57.14,v2.2,TradeMind F&O v1.1,LIVE_SHADOW,False,,,,,,,live_signals,56.94,,1,LIVE_SHADOW,LEGACY_LOG
866f671b-a9d4-407c-917f-824db23ffc1c,NIFTY,SHORT,2026-08-05 11:59:29.918401,150.0,80.0,190.0,TARGET_HIT,2026-08-11 11:59:29.918401,46.67,v2.2,TradeMind F&O v1.1,LIVE_SHADOW,False,,,,,,,live_signals,46.47,,1,LIVE_SHADOW,LEGACY_LOG
cloud_hist_ABB_20260311_0,ABB,LONG,2026-03-10 18:30:00.000000,6181.6474609375,6799.81220703125,5934.3815625,TARGET_HIT,2026-03-20 18:30:00.000000,8.5,v2.2,TradeMind Core v2.2-CloudBackfill,LIVE_SHADOW,False,,,,,,,live_signals,8.3,,1,LIVE_SHADOW,LEGACY_LOG
cloud_hist_ABB_20260408_1,ABB,LONG,2026-04-07 18:30:00.000000,6462.18359375,7108.401953125001,6203.69625,STOP_LOSS,2026-04-17 18:30:00.000000,-3.8,v2.2,TradeMind Core v2.2-CloudBackfill,LIVE_SHADOW,False,,,,,,,live_signals,-4.0,,1,LIVE_SHADOW,LEGACY_LOG
cloud_hist_ABB_20260417_2,ABB,LONG,2026-04-16 18:30:00.000000,6919.4091796875,7611.350097656251,6642.6328125,TARGET_HIT,2026-04-26 18:30:00.000000,8.5,v2.2,TradeMind Core v2.2-CloudBackfill,LIVE_SHADOW,False,,,,,,,live_signals,8.3,,1,LIVE_SHADOW,LEGACY_LOG
cloud_hist_ABB_20260511_3,ABB,SHORT,2026-05-10 18:30:00.000000,6313.1787109375,5681.86083984375,6565.705859375,STOP_LOSS,2026-05-20 18:30:00.000000,-3.8,v2.2,TradeMind Core v2.2-CloudBackfill,LIVE_SHADOW,False,,,,,,,live_signals,-4.0,,1,LIVE_SHADOW,LEGACY_LOG
