id,timestamp,symbol,direction,asset_class,instrument_id,instrument_type,raw_probability,calibrated_probability,expected_value,data_quality_score,entry_price,target_price,stop_price,strategy_version,universe_version,model_version,feature_version,regime,outcome,outcome_timestamp,exit_price,realized_return,realized_mfe,realized_mae,transaction_cost,slippage,net_return,exit_reason,data_timestamp,market_timestamp,evaluation_mode,status,signal_eligibility,outcome_verified,quantity,capital_allocation,risk_amount,gross_pnl,pnl_percentage,fees,net_pnl,prediction_id,provenance_id,created_at,updated_at,asset_type,exchange,underlying_symbol,signal_type,signal_rating,conviction,entry_zone_low,entry_zone_high,current_price,underlying_price,underlying_price_timestamp,price_adjustment_factor,price_timestamp,price_source,price_status,derivative_symbol,contract_multiplier,strike,expiry,option_type,derivative_entry,derivative_current,derivative_target,derivative_stop,premium_timestamp,signal_timestamp,last_updated_at,entry_timestamp,exit_timestamp,lifecycle_state,outcome_status,verification_level,risk_amount_abs,reward_amount_abs,risk_reward_ratio,expected_return,feature_snapshot_id,market_snapshot_id,model_run_id,decision_id,created_by,calculation_version,pnl_engine_version,outcome_engine_version,reconstruction_version,last_reconciled_at,record_hash,audit_status
sig_RELIANCE_1788653690,2026-09-06T05:44:51.722293,RELIANCE,LONG,EQUITY,RELIANCE.NS,EQUITY,0.78,0.78,1.2,,1322.0,1360.0,,v2.2,NIFTY_200_AUG2026,TradeMind Core v2.2,,,,,,,,,,,,,,,LIVE_SHADOW,ACTIVE,,False,,,,,,,,5423fe79-82d0-4936-aa8a-0366ea38cdc7,prov_1aa8e850b726,2026-09-06T05:44:52.690350,2026-09-06T05:44:52.690350,,NSE,,,,78.0,,,,,,1.0,,,,,,,,,,,,,,,2026-09-06T05:44:52.675361,,,ACTIVE,,1,,,,,,,,,SYSTEM,1.0,1.0,1.0,1.0,,69a6adc7a2b3714aa306728d073825cfcce0d0d64022d2a4836fba830d923e9f,PENDING
master_eq_TCS_122636,2026-08-27T12:26:36.295273,TCS,LONG,EQUITY,TCS.NS,EQUITY,,,,,4520.0,4800.0,4450.0,v2.2,NIFTY_200_AUG2026,TradeMind Core v2.2,,,,,,,,,,,,,,,LIVE_SHADOW_ACTIVE,ACTIVE,,False,,,,,,,,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.106054,EQUITY,NSE,,SWING,BUY,,,,2304.0,2304.0,,1.0,2026-09-05T14:42:48.603038,YFinanceProvider,FRESH,,,,,,,,,,,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.095060,,,ACTIVE,,2,70.0,280.0,4.0,,,,,,SYSTEM,1.0,1.0,1.0,1.0,,794c5e8f040677aa1d1f65df8c2c1999a27b9e9062e5d33f55470cff56ff05c2,PENDING
master_eq_ITC_122636,2026-08-27T12:26:36.295273,ITC,LONG,EQUITY,ITC.NS,EQUITY,,,,,495.0,550.0,482.0,v2.2,NIFTY_200_AUG2026,TradeMind Core v2.2,,,,,,,,,,,,,,,LIVE_SHADOW_ACTIVE,ACTIVE,,False,,,,,,,,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.106054,EQUITY,NSE,,SWING,BUY,,,,264.1000061035156,264.1000061035156,,1.0,2026-09-05T14:42:44.764932,YFinanceProvider,FRESH,,,,,,,,,,,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.095060,,,ACTIVE,,2,13.0,55.0,4.230769230769231,,,,,,SYSTEM,1.0,1.0,1.0,1.0,,23282ec9d3a9b9ff61b0edd6b3dee7facb22941bff49370c1cca3f0a1c19bc1a,PENDING
master_opt_SBIN_860_122636,2026-08-27T12:26:36.295273,SBIN,LONG,OPTIONS,SBIN860CE,OPTSTK,,,,,18.0,42.0,10.0,v2.2,NIFTY_200_AUG2026,TradeMind F&O v1.1,,,,,,,,,,,,,,,LIVE_SHADOW_ACTIVE,ACTIVE,,False,,,,,,,,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.106054,DERIVATIVE,NSE,SBIN,SWING,BUY,,,,,1026.6,,1.0,2026-09-04T04:57:12.599789,,PROVIDER_UNSUPPORTED,SBIN860CE,,860.0,2026-09-08T12:26:36.295273,CE,,,,,,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.095060,,,ACTIVE,,2,8.0,24.0,3.0,,,,,,SYSTEM,1.0,1.0,1.0,1.0,,7a0e8822ff0f485fbb9498d4793fb751142aece2f7901aa320c7ba928ed5c8a7,PENDING
master_eq_INFY_122636,2026-08-27T12:26:36.295273,INFY,LONG,EQUITY,INFY.NS,EQUITY,,,,,1910.0,2050.0,1860.0,v2.2,NIFTY_200_AUG2026,TradeMind Core v2.2,,,,,,,,,,,,,,,LIVE_SHADOW_ACTIVE,ACTIVE,,False,,,,,,,,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.106054,EQUITY,NSE,,SWING,BUY,,,,1130.0,1130.0,,1.0,2026-09-05T14:42:50.375693,YFinanceProvider,FRESH,,,,,,,,,,,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.095060,,,ACTIVE,,2,50.0,140.0,2.8,,,,,,SYSTEM,1.0,1.0,1.0,1.0,,ebc88a29b025ceb5e0d006ed054cd04b4143d2e4cdbab469cd3e62ec01ee21a1,PENDING
master_eq_RELIANCE_122636,2026-08-27T12:26:36.295273,RELIANCE,LONG,EQUITY,RELIANCE.NS,EQUITY,,,,,2980.0,3150.0,2920.0,v2.2,NIFTY_200_AUG2026,TradeMind Core v2.2,,,,,,,,,,,,,,,LIVE_SHADOW_ACTIVE,ACTIVE,,False,,,,,,,,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.106054,EQUITY,NSE,,SWING,BUY,,,,1322.0,1322.0,,1.0,2026-09-05T14:42:47.302255,YFinanceProvider,FRESH,,,,,,,,,,,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.095060,,,ACTIVE,,2,60.0,170.0,2.8333333333333335,,,,,,SYSTEM,1.0,1.0,1.0,1.0,,5aa7b0d5acbdd275b9c4605c8aeff734dfd5f6bfc1d57f39cc7ed38bd0deb73c,PENDING
master_fut_NIFTY_122636,2026-08-27T12:26:36.295273,NIFTY,LONG,FUTURES,NIFTY26AUGFUT,FUTIDX,,,,,24850.0,25200.0,24650.0,v2.2,NIFTY_200_AUG2026,TradeMind F&O v1.1,,,,,,,,,,,,,,,LIVE_SHADOW_ACTIVE,ACTIVE,,False,,,,,,,,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.106054,DERIVATIVE,NSE,NIFTY,SWING,BUY,,,,,,,1.0,,,PROVIDER_UNSUPPORTED,NIFTY26AUGFUT,,,2026-09-08T12:26:36.295273,,,,,,,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.095060,,,ACTIVE,,2,200.0,350.0,1.75,,,,,,SYSTEM,1.0,1.0,1.0,1.0,,67f82e99823537db14c5e3a1063edfcb5d9d0afa12c66c3efa187f7492bc42b8,PENDING
master_fut_RELIANCE_122636,2026-08-27T12:26:36.295273,RELIANCE,LONG,FUTURES,RELIANCE26AUGFUT,FUTSTK,,,,,3010.0,3180.0,2960.0,v2.2,NIFTY_200_AUG2026,TradeMind F&O v1.1,,,,,,,,,,,,,,,LIVE_SHADOW_ACTIVE,ACTIVE,,False,,,,,,,,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.106054,DERIVATIVE,NSE,RELIANCE,SWING,BUY,,,,,1325.7,2026-09-04T04:57:11.069372,1.0,,,PROVIDER_UNSUPPORTED,RELIANCE26AUGFUT,,,2026-09-08T12:26:36.295273,,,,,,,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.095060,,,ACTIVE,,2,50.0,170.0,3.4,,,,,,SYSTEM,1.0,1.0,1.0,1.0,,3aa1c675047d97b3abac3e77830edc9af5e9197646c1d9d4231a4fb3e28614a8,PENDING
master_eq_LT_122636,2026-08-27T12:26:36.295273,LT,LONG,EQUITY,LT.NS,EQUITY,,,,,3550.0,3850.0,3480.0,v2.2,NIFTY_200_AUG2026,TradeMind Core v2.2,,,,,,,,,,,,,,,LIVE_SHADOW_ACTIVE,ACTIVE,,False,,,,,,,,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.106054,EQUITY,NSE,,SWING,BUY,,,,3964.10009765625,3964.10009765625,,1.0,2026-09-05T14:42:46.072332,YFinanceProvider,FRESH,,,,,,,,,,,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.095060,,,ACTIVE,,2,70.0,300.0,4.285714285714286,,,,,,SYSTEM,1.0,1.0,1.0,1.0,,5bada40def2209ccaf6df8a7d07d441bafca8fe02f2913fe0ed0f0b7d3db5961,PENDING
master_opt_RELIANCE_3100_122636,2026-08-27T12:26:36.295273,RELIANCE,LONG,OPTIONS,RELIANCE3100CE,OPTSTK,,,,,48.0,95.0,30.0,v2.2,NIFTY_200_AUG2026,TradeMind F&O v1.1,,,,,,,,,,,,,,,LIVE_SHADOW_ACTIVE,ACTIVE,,False,,,,,,,,UNAVAILABLE_PRE_LEDGER_2.0,UNAVAILABLE_PRE_LEDGER_2.0,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.106054,DERIVATIVE,NSE,RELIANCE,SWING,BUY,,,,,1325.7,2026-09-04T04:57:11.069372,1.0,,,PROVIDER_UNSUPPORTED,RELIANCE3100CE,,3100.0,2026-09-08T12:26:36.295273,CE,,,,,,2026-08-27T12:26:36.295273,2026-09-06T05:19:47.095060,,,ACTIVE,,2,18.0,47.0,2.611111111111111,,,,,,SYSTEM,1.0,1.0,1.0,1.0,,e77d6dc0eff44efe572cd68b80865b971a6f4b1a6ddb575dbf48fee0b0aef443,PENDING
