id,timestamp,symbol,direction,raw_probability,calibrated_probability,expected_value,data_quality_score,entry_price,target_price,stop_price,strategy_version,model_version,feature_version,regime,outcome,outcome_timestamp,realized_return,realized_mfe,realized_mae,transaction_cost,slippage,net_return,status,rejection_reason,provenance_json,created_at,updated_at,exit_price,universe_version,data_timestamp,market_timestamp,evaluation_mode,exit_reason,signal_eligibility,outcome_verified,quantity,capital_allocation,risk_amount,gross_pnl,pnl_percentage,fees,net_pnl,asset_class,instrument_id,instrument_type,prediction_id,provenance_id,asset_type,exchange,underlying_symbol,signal_type,signal_rating,conviction,entry_zone_low,entry_zone_high,current_price,price_timestamp,derivative_symbol,contract_multiplier,derivative_entry,derivative_current,derivative_target,derivative_stop,premium_timestamp,signal_timestamp,last_updated_at,entry_timestamp,exit_timestamp,lifecycle_state,outcome_status,verification_level,risk_amount_abs,reward_amount_abs,expected_return,feature_snapshot_id,market_snapshot_id,model_run_id,decision_id,created_by,calculation_version,pnl_engine_version,outcome_engine_version,reconstruction_version,last_reconciled_at,record_hash,audit_status,strike,expiry,option_type,underlying_price,underlying_price_timestamp,price_adjustment_factor,price_source,price_status,risk_reward_ratio,run_id,dataset_type,quality_class
recon_AXISBANK_20260720_2,2026-07-19 18:30:00.000000,AXISBANK,SHORT,0.75,0.75,0.5,1.0,1256.0,1130.4,1306.24,v2.2,TradeMind-Quant-V2,v1.0.0,,,2026-08-03 18:30:00,10.0,3.5828025477707004,-2.093952932175557,,,9.8,TARGET_HIT,,,2026-09-02 10:54:35.460921,2026-09-06 06:32:36.692482,1130.4,NIFTY_200_AUG2026,,,LIVE_SHADOW_VERIFIED,,,True,,,,,10.0,,9.8,EQUITY,,,,,EQUITY,NSE,,SWING,SELL,,,,,,,,,,,,,2026-07-19 18:30:00.000000,2026-09-06 06:32:36.692482,,,TERMINAL,,4,50.24000000000001,125.59999999999991,0.005,,,,,SYSTEM,v2.2.0,v1.1.canonical,v1.1.forensic,,,d8d961c24cb2a8895c64d91170dc29bcfa68c66e2d3870100ba6595b5ca6d48c,,,,,,,1.0,,,2.499999999999998,,V2.2_VERIFIED_REFERENCE,PRIMARY
recon_BAJAJ-AUTO_20260720_0,2026-07-19 18:30:00.000000,BAJAJ-AUTO,LONG,0.75,0.75,0.5,1.0,10522.5,11574.750000000002,10101.6,v2.2,TradeMind-Quant-V2,v1.0.0,,,2026-08-03 18:30:00,10.0,10.12592064623426,-1.6821097647897365,,,9.8,TARGET_HIT,,,2026-09-02 10:54:35.460921,2026-09-06 06:32:36.692482,11574.750000000002,NIFTY_200_AUG2026,,,LIVE_SHADOW_VERIFIED,,,True,,,,,10.0,,9.8,EQUITY,,,,,EQUITY,NSE,,SWING,BUY,,,,,,,,,,,,,2026-07-19 18:30:00.000000,2026-09-06 06:32:36.692482,,,TERMINAL,,4,420.89999999999964,1052.2500000000018,0.005,,,,,SYSTEM,v2.2.0,v1.1.canonical,v1.1.forensic,,,84d2e5fb19016a67587b7fcd43221f798443dc46afdbcc6d3e88e2c8e44330ae,,,,,,,1.0,,,2.5000000000000067,,V2.2_VERIFIED_REFERENCE,PRIMARY
recon_BAJAJ-AUTO_20260728_1,2026-07-27 18:30:00.000000,BAJAJ-AUTO,LONG,0.75,0.75,0.5,1.0,11374.0,12511.400000000001,10919.039999999999,v2.2,TradeMind-Quant-V2,v1.0.0,,,2026-08-11 18:30:00,-4.0,4.79163003340953,-1.916652013363812,,,-4.2,STOP_LOSS,,,2026-09-02 10:54:35.460921,2026-09-06 06:32:36.692482,10919.039999999999,NIFTY_200_AUG2026,,,LIVE_SHADOW_VERIFIED,,,True,,,,,-4.0,,-4.2,EQUITY,,,,,EQUITY,NSE,,SWING,BUY,,,,,,,,,,,,,2026-07-27 18:30:00.000000,2026-09-06 06:32:36.692482,,,TERMINAL,,4,454.96000000000095,1137.4000000000015,0.005,,,,,SYSTEM,v2.2.0,v1.1.canonical,v1.1.forensic,,,7f23d90cb96e1760b6d9275512d85ffefe3c417d19109106d31e66d0158cdd4e,,,,,,,1.0,,,2.499999999999998,,V2.2_VERIFIED_REFERENCE,PRIMARY
recon_BAJAJ-AUTO_20260803_2,2026-08-02 18:30:00.000000,BAJAJ-AUTO,LONG,0.75,0.75,0.5,1.0,11856.0,13041.6,11381.76,v2.2,TradeMind-Quant-V2,v1.0.0,,,2026-08-17 18:30:00,10.0,0.5313765182186234,-3.340080971659919,,,9.8,TARGET_HIT,,,2026-09-02 10:54:35.460921,2026-09-06 06:32:36.692482,13041.6,NIFTY_200_AUG2026,,,LIVE_SHADOW_VERIFIED,,,True,,,,,10.0,,9.8,EQUITY,,,,,EQUITY,NSE,,SWING,BUY,,,,,,,,,,,,,2026-08-02 18:30:00.000000,2026-09-06 06:32:36.692482,,,TERMINAL,,4,474.2399999999998,1185.6000000000004,0.005,,,,,SYSTEM,v2.2.0,v1.1.canonical,v1.1.forensic,,,722bf852daa2978aa7922d07100076cd9ae9436612938d6af79f7c65d673a892,,,,,,,1.0,,,2.5000000000000018,,V2.2_VERIFIED_REFERENCE,PRIMARY
recon_BAJAJFINSV_20260702_0,2026-07-01 18:30:00.000000,BAJAJFINSV,LONG,0.75,0.75,0.5,1.0,1855.699951171875,2041.2699462890628,1781.471953125,v2.2,TradeMind-Quant-V2,v1.0.0,,,2026-07-16 18:30:00,10.0,3.4919464640392834,-2.920728167161276,,,9.8,TARGET_HIT,,,2026-09-02 10:54:35.460921,2026-09-06 06:32:36.692482,2041.2699462890628,NIFTY_200_AUG2026,,,LIVE_SHADOW_VERIFIED,,,True,,,,,10.0,,9.8,EQUITY,,,,,EQUITY,NSE,,SWING,BUY,,,,,,,,,,,,,2026-07-01 18:30:00.000000,2026-09-06 06:32:36.692482,,,TERMINAL,,4,74.22799804687497,185.56999511718777,0.005,,,,,SYSTEM,v2.2.0,v1.1.canonical,v1.1.forensic,,,61a00180374d98de230ebf434b0c5e39f3229d6b96c2b637515a96fc69a44593,,,,,,,1.0,,,2.5000000000000044,,V2.2_VERIFIED_REFERENCE,PRIMARY
recon_BAJAJFINSV_20260728_1,2026-07-27 18:30:00.000000,BAJAJFINSV,LONG,0.75,0.75,0.5,1.0,1927.9000244140625,2120.690026855469,1850.7840234374999,v2.2,TradeMind-Quant-V2,v1.0.0,,,2026-08-11 18:30:00,-4.0,9.86566060654489,-1.8465675156966312,,,-4.2,STOP_LOSS,,,2026-09-04 05:00:24.578272,2026-09-06 06:32:36.692482,1850.7840234374999,NIFTY_200_AUG2026,,,LIVE_SHADOW_VERIFIED,,,True,,,,,-4.0,,-4.2,EQUITY,,,,,EQUITY,NSE,,SWING,BUY,,,,,,,,,,,,,2026-07-27 18:30:00.000000,2026-09-06 06:32:36.692482,,,TERMINAL,,4,77.11600097656265,192.7900024414066,0.005,,,,,SYSTEM,v2.2.0,v1.1.canonical,v1.1.forensic,,,0bbd2c594f42428d864cfbf79f8f1fac958041fed160759e0fafe1f413e985a1,,,,,,,1.0,,,2.5,,V2.2_VERIFIED_REFERENCE,PRIMARY
recon_BAJAJFINSV_20260803_2,2026-08-02 18:30:00.000000,BAJAJFINSV,LONG,0.75,0.75,0.5,1.0,2096.0,2305.6000000000004,2012.1599999999999,v2.2,TradeMind-Quant-V2,v1.0.0,,,2026-08-17 18:30:00,10.0,1.054393972149332,-4.09828360754115,,,9.8,TARGET_HIT,,,2026-09-04 05:00:24.578272,2026-09-06 06:32:36.692482,2305.6000000000004,NIFTY_200_AUG2026,,,LIVE_SHADOW_VERIFIED,,,True,,,,,10.0,,9.8,EQUITY,,,,,EQUITY,NSE,,SWING,BUY,,,,,,,,,,,,,2026-08-02 18:30:00.000000,2026-09-06 06:32:36.692482,,,TERMINAL,,4,83.84000000000015,209.60000000000036,0.005,,,,,SYSTEM,v2.2.0,v1.1.canonical,v1.1.forensic,,,e42b81ec3015a4f6eca7699e7c7d13f7d399f103dc69f8cc93a616f350d5f025,,,,,,,1.0,,,2.5,,V2.2_VERIFIED_REFERENCE,PRIMARY
recon_BAJAJHLDNG_20260608_0,2026-06-07 18:30:00.000000,BAJAJHLDNG,SHORT,0.75,0.75,0.5,1.0,9746.8857421875,8772.19716796875,10136.761171875,v2.2,TradeMind-Quant-V2,v1.0.0,,,2026-06-22 18:30:00,10.0,0.0,-5.469585587784399,,,9.8,TARGET_HIT,,,2026-09-04 05:00:24.578272,2026-09-06 06:32:36.692482,8772.19716796875,NIFTY_200_AUG2026,,,LIVE_SHADOW_VERIFIED,,,True,,,,,10.0,,9.8,EQUITY,,,,,EQUITY,NSE,,SWING,SELL,,,,,,,,,,,,,2026-06-07 18:30:00.000000,2026-09-06 06:32:36.692482,,,TERMINAL,,4,389.8754296874995,974.6885742187496,0.005,,,,,SYSTEM,v2.2.0,v1.1.canonical,v1.1.forensic,,,effacff1f13f367c92980058187c29bc2846cf1ce4d414b9a7921a12059da8ff,,,,,,,1.0,,,2.500000000000002,,V2.2_VERIFIED_REFERENCE,PRIMARY
recon_BAJAJHLDNG_20260703_1,2026-07-02 18:30:00.000000,BAJAJHLDNG,LONG,0.75,0.75,0.5,1.0,11079.0,12186.900000000001,10635.84,v2.2,TradeMind-Quant-V2,v1.0.0,,,2026-07-17 18:30:00,-4.0,1.2546258687607184,-7.247946565574511,,,-4.2,STOP_LOSS,,,2026-09-04 05:00:24.578272,2026-09-06 06:32:36.692482,10635.84,NIFTY_200_AUG2026,,,LIVE_SHADOW_VERIFIED,,,True,,,,,-4.0,,-4.2,EQUITY,,,,,EQUITY,NSE,,SWING,BUY,,,,,,,,,,,,,2026-07-02 18:30:00.000000,2026-09-06 06:32:36.692482,,,TERMINAL,,4,443.15999999999985,1107.9000000000015,0.005,,,,,SYSTEM,v2.2.0,v1.1.canonical,v1.1.forensic,,,25d5c5e54c4ebfa5482fded6ce44c06b9ffaf3590e9f1052f53814804f836587,,,,,,,1.0,,,2.500000000000004,,V2.2_VERIFIED_REFERENCE,PRIMARY
recon_BAJAJHLDNG_20260731_2,2026-07-30 18:30:00.000000,BAJAJHLDNG,LONG,0.75,0.75,0.5,1.0,11343.0,12477.300000000001,10889.279999999999,v2.2,TradeMind-Quant-V2,v1.0.0,,,2026-08-14 18:30:00,10.0,2.521378823944283,-3.420611831085251,,,9.8,TARGET_HIT,,,2026-09-04 05:00:24.578272,2026-09-06 06:32:36.692482,12477.300000000001,NIFTY_200_AUG2026,,,LIVE_SHADOW_VERIFIED,,,True,,,,,10.0,,9.8,EQUITY,,,,,EQUITY,NSE,,SWING,BUY,,,,,,,,,,,,,2026-07-30 18:30:00.000000,2026-09-06 06:32:36.692482,,,TERMINAL,,4,453.72000000000116,1134.300000000001,0.005,,,,,SYSTEM,v2.2.0,v1.1.canonical,v1.1.forensic,,,6663a8e2448b23ed14b812af4fab3f0886c8b6928c69c77755db05a14ecb97c1,,,,,,,1.0,,,2.499999999999996,,V2.2_VERIFIED_REFERENCE,PRIMARY
