id,original,baseline,atr_025,atr_050,atr_100,be_10,be_15
recon_AXISBANK_20260720_2,TARGET_HIT,EXPIRED,EXPIRED,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
recon_BAJAJ-AUTO_20260720_0,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT
recon_BAJAJ-AUTO_20260728_1,STOP_LOSS,EXPIRED,EXPIRED,EXPIRED,EXPIRED,EXPIRED,EXPIRED
recon_BAJAJ-AUTO_20260803_2,TARGET_HIT,EXPIRED,EXPIRED,EXPIRED,EXPIRED,EXPIRED,EXPIRED
recon_BAJAJFINSV_20260702_0,TARGET_HIT,EXPIRED,EXPIRED,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
recon_BAJAJFINSV_20260728_1,STOP_LOSS,EXPIRED,EXPIRED,EXPIRED,EXPIRED,EXPIRED,EXPIRED
recon_BAJAJFINSV_20260803_2,TARGET_HIT,STOP_LOSS,STOP_LOSS,STOP_LOSS,EXPIRED,STOP_LOSS,STOP_LOSS
recon_BAJAJHLDNG_20260608_0,TARGET_HIT,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
recon_BAJAJHLDNG_20260703_1,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
recon_BAJAJHLDNG_20260731_2,TARGET_HIT,EXPIRED,EXPIRED,EXPIRED,EXPIRED,STOP_LOSS,EXPIRED
recon_BANDHANBNK_20260504_0,TARGET_HIT,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
recon_BANDHANBNK_20260616_1,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
sig_AMBUJACEM_202608250435,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT
sig_ATGL_202608240938,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT
sig_BAJAJHLDNG_202608240939,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,STOP_LOSS,TARGET_HIT
sig_BANKINDIA_202608240939,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
sig_BATAINDIA_202608240939,STOP_LOSS,STOP_LOSS,STOP_LOSS,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
sig_BERGEPAINT_202608240939,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
sig_BOSCHLTD_202608240939,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT
sig_BPCL_202608250436,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,STOP_LOSS,STOP_LOSS
sig_BRITANNIA_202608250436,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,STOP_LOSS,TARGET_HIT
sig_CANFINHOME_202608240939,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,STOP_LOSS,STOP_LOSS
sig_CHOLAFIN_202608250436,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,STOP_LOSS,TARGET_HIT
sig_CUMMINSIND_202608241002,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,STOP_LOSS,TARGET_HIT
sig_DIXON_202608241002,STOP_LOSS,STOP_LOSS,EXPIRED,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
sig_GLENMARK_202608241002,TARGET_HIT,STOP_LOSS,STOP_LOSS,STOP_LOSS,TARGET_HIT,STOP_LOSS,STOP_LOSS
sig_INFY_202608241003,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
sig_SBIN_202608180715,TARGET_HIT,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
recon_ASIANPAINT_20260410_0,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT
recon_ASIANPAINT_20260416_1,STOP_LOSS,EXPIRED,EXPIRED,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
recon_ASIANPAINT_20260508_2,TARGET_HIT,EXPIRED,EXPIRED,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
recon_ASTRAL_20260629_0,TARGET_HIT,STOP_LOSS,EXPIRED,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
recon_ASTRAL_20260709_1,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
recon_ASTRAL_20260813_2,TARGET_HIT,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
recon_AXISBANK_20260624_0,TARGET_HIT,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
recon_AXISBANK_20260709_1,STOP_LOSS,EXPIRED,EXPIRED,EXPIRED,EXPIRED,EXPIRED,EXPIRED
recon_BAJFINANCE_20260707_0,TARGET_HIT,STOP_LOSS,STOP_LOSS,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
recon_BAJFINANCE_20260717_1,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,EXPIRED,STOP_LOSS,STOP_LOSS
recon_BAJFINANCE_20260731_2,TARGET_HIT,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
recon_BALKRISIND_20260715_0,TARGET_HIT,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
recon_BALKRISIND_20260721_1,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS
recon_BALKRISIND_20260730_2,TARGET_HIT,STOP_LOSS,TARGET_HIT,TARGET_HIT,TARGET_HIT,STOP_LOSS,STOP_LOSS
sig_COFORGE_202608240939,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT,TARGET_HIT
sig_DRREDDY_202608250436,STOP_LOSS,STOP_LOSS,EXPIRED,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
sig_WIPRO_202608241004,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,EXPIRED,STOP_LOSS,STOP_LOSS
sig_ABB_202608240938,STOP_LOSS,STOP_LOSS,EXPIRED,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
sig_ACC_202608250435,STOP_LOSS,STOP_LOSS,STOP_LOSS,STOP_LOSS,EXPIRED,STOP_LOSS,STOP_LOSS
sig_ADANIGREEN_202608250435,STOP_LOSS,STOP_LOSS,EXPIRED,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
sig_SBIN_202608241004,STOP_LOSS,STOP_LOSS,STOP_LOSS,EXPIRED,EXPIRED,STOP_LOSS,STOP_LOSS
