id,symbol,issues,status
sig_COALINDIA_202609110913,COALINDIA,PASS,WAITING_FOR_ENTRY
sig_NTPC_202609110913,NTPC,PASS,WAITING_FOR_ENTRY
sig_YESBANK_202609110913,YESBANK,PASS,WAITING_FOR_ENTRY
sig_ADANIENT_202609110914,ADANIENT,PASS,WAITING_FOR_ENTRY
sig_ZYDUSLIFE_202609110914,ZYDUSLIFE,PASS,WAITING_FOR_ENTRY
sig_UCOBANK_202609110914,UCOBANK,PASS,WAITING_FOR_ENTRY
sig_BPCL_202609110914,BPCL,PASS,WAITING_FOR_ENTRY
sig_COALINDIA_202609110920,COALINDIA,PASS,WAITING_FOR_ENTRY
sig_NTPC_202609110920,NTPC,PASS,WAITING_FOR_ENTRY
sig_YESBANK_202609110920,YESBANK,PASS,WAITING_FOR_ENTRY
sig_ADANIENT_202609110921,ADANIENT,PASS,WAITING_FOR_ENTRY
sig_ZYDUSLIFE_202609110921,ZYDUSLIFE,PASS,WAITING_FOR_ENTRY
sig_UCOBANK_202609110921,UCOBANK,PASS,WAITING_FOR_ENTRY
sig_BPCL_202609110921,BPCL,PASS,WAITING_FOR_ENTRY
