symbol,prediction_count,earliest_prediction,latest_prediction,coverage_pct
RELIANCE,2119,2026-05-01 00:00:00.000000,2026-09-10 11:20:57.169486,100.0
ACC,1300,2026-03-16 00:00:00.000000,2026-09-15 05:26:55.130913,100.0
TCS,936,2026-09-09 06:42:22.231108,2026-09-10 08:08:19.251145,100.0
INFY,364,2026-09-09 06:28:10.713437,2026-09-11 10:26:36.436680,72.8
ICICIBANK,249,2026-06-12 07:46:32.639924,2026-09-11 10:25:48.813582,49.8
ZYDUSLIFE,241,2026-04-21 00:00:00.000000,2026-09-11 09:21:21.637111,48.2
ADANIPORTS,147,2026-04-09 00:00:00.000000,2026-09-15 05:31:49.064604,29.4
ADANIPOWER,144,2026-09-09 11:02:00.220304,2026-09-15 05:31:53.216085,28.8
DELHIVERY,134,2026-03-16 00:00:00.000000,2026-09-11 10:23:47.947318,26.8
HEROMOTOCO,124,2026-09-09 08:51:28.870608,2026-09-11 10:25:20.209588,24.8
COALINDIA,105,2026-09-09 11:01:00.662330,2026-09-15 05:33:57.048341,21.0
UBL,89,2026-09-09 05:55:33.181070,2026-09-10 04:59:22.265609,17.8
HDFCBANK,62,2026-09-09 05:57:43.789709,2026-09-11 10:25:11.859838,12.4
ADANIENT,45,2026-09-09 05:57:14.838469,2026-09-15 05:31:40.733102,9.0
BPCL,36,2026-09-09 11:00:52.230069,2026-09-15 05:30:00.234939,7.2
AXISBANK,31,2026-09-09 05:58:27.435042,2026-09-15 05:28:25.461172,6.2
APOLLOTYRE,31,2026-09-09 00:00:00.000000,2026-09-15 05:27:38.878974,6.2
BIOCON,28,2026-09-09 05:55:25.962754,2026-09-15 05:33:20.633870,5.6
DALBHARAT,28,2026-09-09 11:02:39.480512,2026-09-15 05:31:25.097911,5.6
BALKRISIND,28,2026-09-09 05:56:02.187518,2026-09-15 05:32:47.301120,5.6
ATGL,28,2026-09-10 05:19:24.569353,2026-09-15 05:32:17.226303,5.6
AMBUJACEM,28,2026-09-09 08:50:33.557617,2026-09-15 05:27:25.347241,5.6
UCOBANK,28,2026-09-09 05:59:18.496943,2026-09-11 09:21:31.147808,5.6
BHARATFORG,27,2026-09-09 11:01:11.157481,2026-09-15 05:33:10.198390,5.4
BOSCHLTD,26,2026-09-09 06:01:36.743851,2026-09-15 05:33:27.891710,5.2
CANFINHOME,26,2026-09-09 00:00:00.000000,2026-09-15 05:30:14.781108,5.2
BERGEPAINT,25,2026-09-09 06:01:05.105813,2026-09-15 05:29:18.598111,5.0
CONCOR,25,2026-09-09 11:02:16.826622,2026-09-15 05:34:07.453587,5.0
CROMPTON,25,2026-09-09 08:51:05.896665,2026-09-15 05:34:14.720219,5.0
ASTRAL,25,2026-09-09 05:57:07.589110,2026-09-15 05:32:12.055806,5.0
CGPOWER,25,2026-09-09 06:03:04.422513,2026-09-15 05:33:40.406626,5.0
BAJAJ-AUTO,24,2026-09-09 08:50:47.540736,2026-09-15 05:32:29.633879,4.8
ABB,24,2026-09-10 05:18:09.719147,2026-09-15 05:31:29.271853,4.8
ADANIENSOL,23,2026-09-09 06:02:56.525263,2026-09-15 05:31:36.567376,4.6
APOLLOHOSP,23,2026-09-09 06:01:20.644666,2026-09-15 05:31:59.505697,4.6
ADANIGREEN,23,2026-09-09 11:02:29.815507,2026-09-15 05:31:44.903204,4.6
NTPC,23,2026-09-09 05:57:36.526698,2026-09-11 10:29:08.341523,4.6
CIPLA,23,2026-09-09 05:57:22.072733,2026-09-15 05:30:36.774151,4.6
CUMMINSIND,23,2026-09-09 11:01:06.446216,2026-09-15 05:34:19.897014,4.6
BAJFINANCE,23,2026-09-09 11:01:53.966970,2026-09-15 05:32:43.134427,4.6
BEL,23,2026-09-09 05:58:12.935494,2026-09-15 05:29:14.453772,4.6
BLUEDART,22,2026-09-09 11:00:34.737406,2026-09-15 05:29:51.892494,4.4
BRITANNIA,22,2026-09-09 05:56:16.888487,2026-09-15 05:30:04.402765,4.4
