symbol,membership_status,historical_bar_count,model_status,model_id,signal_count,rejection_reason
ABB,MEMBER,987,AVAILABLE,202608180605,0,N/A
ACC,MEMBER,989,AVAILABLE,202608180605,0,N/A
ADANIENSOL,MEMBER,987,AVAILABLE,202608180605,0,N/A
ADANIENT,MEMBER,993,AVAILABLE,202608180605,2,N/A
ADANIGREEN,MEMBER,990,AVAILABLE,202608180605,0,N/A
ADANIPORTS,MEMBER,989,AVAILABLE,202608180605,0,N/A
ADANIPOWER,MEMBER,990,AVAILABLE,202608180605,0,N/A
AMBUJACEM,MEMBER,252,AVAILABLE,202608180605,0,N/A
APOLLOHOSP,MEMBER,988,AVAILABLE,202608180605,0,N/A
APOLLOTYRE,MEMBER,249,AVAILABLE,202608180605,0,N/A
ASHOKLEY,MEMBER,252,AVAILABLE,202608180605,0,N/A
ASIANPAINT,MEMBER,990,AVAILABLE,202608180605,0,N/A
ASTRAL,MEMBER,250,AVAILABLE,202608180605,0,N/A
ATGL,MEMBER,987,AVAILABLE,202608180605,0,N/A
AUROPHARMA,MEMBER,987,AVAILABLE,202608180605,0,N/A
AXISBANK,MEMBER,991,AVAILABLE,202609091046,0,N/A
BAJAJ-AUTO,MEMBER,249,AVAILABLE,202609090842,0,N/A
BAJAJFINSV,MEMBER,987,AVAILABLE,202609091048,0,N/A
BAJAJHLDNG,MEMBER,988,AVAILABLE,202609091049,0,N/A
BAJFINANCE,MEMBER,990,AVAILABLE,202609091048,0,N/A
BALKRISIND,MEMBER,988,AVAILABLE,202609091046,0,N/A
BANDHANBNK,MEMBER,990,AVAILABLE,202609091048,0,N/A
BANKBARODA,MEMBER,987,AVAILABLE,202609091046,0,N/A
BANKINDIA,MEMBER,987,AVAILABLE,202609091046,0,N/A
BATAINDIA,MEMBER,990,AVAILABLE,202609091047,0,N/A
BEL,MEMBER,249,AVAILABLE,202608180605,0,N/A
BERGEPAINT,MEMBER,989,AVAILABLE,202609091046,0,N/A
BHARATFORG,MEMBER,989,AVAILABLE,202609091048,0,N/A
BHARTIARTL,MEMBER,990,AVAILABLE,202609091048,0,N/A
BHEL,MEMBER,987,AVAILABLE,202609091045,0,N/A
BIOCON,MEMBER,987,AVAILABLE,202609091045,0,N/A
BLUEDART,MEMBER,989,AVAILABLE,202609091047,0,N/A
BOSCHLTD,MEMBER,251,AVAILABLE,202608180605,0,N/A
BPCL,MEMBER,993,AVAILABLE,202609091047,2,N/A
BRITANNIA,MEMBER,990,AVAILABLE,202609091046,0,N/A
CANBK,MEMBER,990,AVAILABLE,202609091046,0,N/A
CANFINHOME,MEMBER,249,AVAILABLE,202608180605,0,N/A
CGPOWER,MEMBER,990,AVAILABLE,202609091046,0,N/A
CHAMBLFERT,MEMBER,989,AVAILABLE,202609091048,0,N/A
CHOLAFIN,MEMBER,987,AVAILABLE,202609091048,0,N/A
CIPLA,MEMBER,989,AVAILABLE,202608180605,0,N/A
COALINDIA,MEMBER,993,AVAILABLE,202609091048,2,N/A
COFORGE,MEMBER,987,AVAILABLE,202609091048,0,N/A
COLPAL,MEMBER,252,AVAILABLE,202608180605,0,N/A
CONCOR,MEMBER,990,AVAILABLE,202609091049,0,N/A
COROMANDEL,MEMBER,990,AVAILABLE,202608180605,0,N/A
CROMPTON,MEMBER,249,AVAILABLE,202608180605,0,N/A
CUMMINSIND,MEMBER,989,AVAILABLE,202609091048,0,N/A
DABUR,MEMBER,990,AVAILABLE,202609091049,0,N/A
DALBHARAT,MEMBER,990,AVAILABLE,202609091049,0,N/A
DEEPAKNTR,MEMBER,249,AVAILABLE,202608180605,0,N/A
