symbol,model_path,model_version,strategy_version,feature_count,load_status,inference_status,error
ABB,backend/ml/registry/ABB_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ACC,backend/ml/registry/ACC_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ADANIENSOL,backend/ml/registry/ADANIENSOL_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ADANIENT,backend/ml/registry/ADANIENT_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ADANIGREEN,backend/ml/registry/ADANIGREEN_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ADANIPORTS,backend/ml/registry/ADANIPORTS_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ADANIPOWER,backend/ml/registry/ADANIPOWER_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
AMBUJACEM,backend/ml/registry/AMBUJACEM_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
APOLLOHOSP,backend/ml/registry/APOLLOHOSP_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
APOLLOTYRE,backend/ml/registry/APOLLOTYRE_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ASHOKLEY,backend/ml/registry/ASHOKLEY_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ASIANPAINT,backend/ml/registry/ASIANPAINT_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ASTRAL,backend/ml/registry/ASTRAL_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ATGL,backend/ml/registry/ATGL_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
AUROPHARMA,backend/ml/registry/AUROPHARMA_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
AXISBANK,backend/ml/registry/AXISBANK_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BAJAJ-AUTO,backend/ml/registry/BAJAJ-AUTO_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BAJAJFINSV,backend/ml/registry/BAJAJFINSV_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BAJAJHLDNG,backend/ml/registry/BAJAJHLDNG_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BAJFINANCE,backend/ml/registry/BAJFINANCE_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BALKRISIND,backend/ml/registry/BALKRISIND_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BANDHANBNK,backend/ml/registry/BANDHANBNK_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BANKBARODA,backend/ml/registry/BANKBARODA_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BANKINDIA,backend/ml/registry/BANKINDIA_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BATAINDIA,backend/ml/registry/BATAINDIA_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BEL,backend/ml/registry/BEL_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BERGEPAINT,backend/ml/registry/BERGEPAINT_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BHARATFORG,backend/ml/registry/BHARATFORG_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BHARTIARTL,backend/ml/registry/BHARTIARTL_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BHEL,backend/ml/registry/BHEL_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BIOCON,backend/ml/registry/BIOCON_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BLUEDART,backend/ml/registry/BLUEDART_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BOSCHLTD,backend/ml/registry/BOSCHLTD_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BPCL,backend/ml/registry/BPCL_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
BRITANNIA,backend/ml/registry/BRITANNIA_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
CANBK,backend/ml/registry/CANBK_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
CANFINHOME,backend/ml/registry/CANFINHOME_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
CGPOWER,backend/ml/registry/CGPOWER_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
CHAMBLFERT,backend/ml/registry/CHAMBLFERT_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
CHOLAFIN,backend/ml/registry/CHOLAFIN_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
CIPLA,backend/ml/registry/CIPLA_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
COALINDIA,backend/ml/registry/COALINDIA_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
COFORGE,backend/ml/registry/COFORGE_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
COLPAL,backend/ml/registry/COLPAL_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
CONCOR,backend/ml/registry/CONCOR_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
COROMANDEL,backend/ml/registry/COROMANDEL_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
CROMPTON,backend/ml/registry/CROMPTON_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
CUMMINSIND,backend/ml/registry/CUMMINSIND_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
DABUR,backend/ml/registry/DABUR_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
DALBHARAT,backend/ml/registry/DALBHARAT_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
DEEPAKNTR,backend/ml/registry/DEEPAKNTR_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
DELHIVERY,backend/ml/registry/DELHIVERY_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
DIVISLAB,backend/ml/registry/DIVISLAB_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
DIXON,backend/ml/registry/DIXON_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
DLF,backend/ml/registry/DLF_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
DRREDDY,backend/ml/registry/DRREDDY_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
EICHERMOT,backend/ml/registry/EICHERMOT_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ESCORTS,backend/ml/registry/ESCORTS_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
EXIDEIND,backend/ml/registry/EXIDEIND_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
FEDERALBNK,backend/ml/registry/FEDERALBNK_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
